Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 09:19.000000;6;10.693107843399048;5;8;5;2;1;1972;;21;2.0613275326075966;1.9650911826733188;7;7;0;0;6;989;
Mon 09:19.507448;6;11.140925407409668;5;8;5;2;2;1972;;22;2.0613275326075966;1.9650911826733188;7;7;0;0;6;989;
Mon 09:20.000000;6;11.140925407409668;5;8;5;2;2;1982;;22;2.0613275326075966;1.9650911826733188;7;7;0;0;6;994;
Mon 09:20.000000;6;11.140925407409668;5;8;5;2;2;1982;;22;2.0613275326075966;2.169315852243809;7;8;0;0;6;994;
Mon 09:21.000000;6;11.140925407409668;5;8;5;2;2;2006;;22;2.295137743144266;2.169315852243809;8;8;0;0;6;1006;
Mon 09:22.000000;6;11.140925407409668;5;8;5;2;2;2020;;22;2.5454801872020933;2.169315852243809;9;8;0;0;6;1013;
Mon 09:23.000000;6;11.140925407409668;5;8;5;2;2;2034;;22;2.5454801872020933;2.169315852243809;9;8;0;0;6;1020;
Mon 09:23.940011;6;11.140925407409668;5;8;5;2;2;2034;;22;2.5454801872020933;2.2576668825202524;9;9;0;0;6;1020;
Mon 09:24.000000;6;11.140925407409668;5;8;5;2;2;2048;;22;2.5454801872020933;2.2576668825202524;9;9;0;0;6;1027;
Mon 09:24.691065;6;11.140925407409668;5;8;5;2;2;2048;;22;2.5454801872020933;2.346017912796696;9;10;0;0;6;1027;
Mon 09:25.000000;6;11.140925407409668;5;8;5;2;2;2058;;22;2.5454801872020933;2.346017912796696;9;10;0;0;6;1032;
Mon 09:26.000000;6;11.140925407409668;5;8;5;2;2;2070;;22;2.779290397738763;2.346017912796696;10;10;0;0;6;1038;
Mon 09:26.140275;6;11.140925407409668;5;8;5;2;2;2070;;22;2.779290397738763;2.4343689430731392;10;11;0;0;6;1038;
Mon 09:27.000000;6;11.140925407409668;5;8;5;2;2;2082;;22;2.779290397738763;2.4343689430731392;10;11;0;0;6;1044;
Mon 09:27.618226;6;11.140925407409668;5;8;5;2;2;2082;;22;2.779290397738763;2.6385936126436293;10;12;0;0;6;1044;
Mon 09:28.000000;6;11.140925407409668;5;8;5;2;2;2088;;22;3.018234406392179;2.6385936126436293;11;12;0;0;6;1047;
Mon 09:28.000000;6;11.140925407409668;5;8;5;2;2;2088;;22;3.018234406392179;2.988412145076797;11;13;0;0;6;1047;
Mon 09:29.000000;6;11.140925407409668;5;8;5;2;2;2106;;22;3.018234406392179;2.988412145076797;11;13;0;0;6;1056;
Mon 09:30.000000;6;11.140925407409668;5;8;5;2;2;2108;;22;3.018234406392179;2.988412145076797;11;13;0;0;6;1057;
Mon 09:31.000000;6;11.140925407409668;5;8;5;2;2;2118;;22;3.2571784150455954;2.988412145076797;12;13;0;0;6;1062;
Mon 09:31.704242;6;11.751258373260498;5;8;5;3;2;2118;;23;3.2571784150455954;2.988412145076797;12;13;0;0;6;1062;
Mon 09:32.000000;6;11.751258373260498;5;8;5;3;2;2128;;23;3.2571784150455954;2.988412145076797;12;13;0;0;6;1067;
Mon 09:33.000000;6;11.751258373260498;5;8;5;3;2;2144;;23;3.2571784150455954;2.988412145076797;12;13;0;0;6;1075;
Mon 09:33.590596;6;12.266466856002808;6;8;5;3;2;2144;;24;3.2571784150455954;2.988412145076797;12;13;0;0;6;1075;
Mon 09:34.000000;7;12.266466856002808;6;8;5;3;2;2159;;24;3.2571784150455954;2.988412145076797;12;13;0;0;7;1083;
Mon 09:35.000000;7;12.266466856002808;6;8;5;3;2;2175;;24;3.2571784150455954;2.988412145076797;12;13;0;0;7;1091;
Mon 09:36.000000;7;12.266466856002808;6;8;5;3;2;2187;;24;3.2571784150455954;2.988412145076797;12;13;0;0;7;1097;
Mon 09:37.000000;7;12.266466856002808;6;8;5;3;2;2203;;24;3.3485388916280145;2.988412145076797;13;13;0;0;7;1105;
Mon 09:38.000000;7;12.266466856002808;6;8;5;3;2;2211;;24;3.3485388916280145;2.988412145076797;13;13;0;0;7;1109;
Mon 09:39.000000;7;12.266466856002808;6;8;5;3;2;2225;;24;3.3485388916280145;2.988412145076797;13;13;0;0;7;1116;
Mon 09:40.000000;8;12.266466856002808;6;8;5;3;2;2254;;24;3.582349102164684;2.988412145076797;14;13;0;0;8;1131;
Mon 09:41.000000;8;12.266466856002808;6;8;5;3;2;2278;;24;3.582349102164684;2.988412145076797;14;13;0;0;8;1143;
Mon 09:42.000000;8;12.266466856002808;6;8;5;3;2;2298;;24;3.582349102164684;2.988412145076797;14;13;0;0;8;1153;
Mon 09:43.000000;8;12.266466856002808;6;8;5;3;2;2310;;24;3.582349102164684;2.988412145076797;14;13;0;0;8;1159;
Mon 09:43.749252;8;12.847790479660034;6;8;6;3;2;2310;;25;3.582349102164684;2.988412145076797;14;13;0;0;8;1159;
Mon 09:44.000000;8;12.847790479660034;6;8;6;3;2;2318;;25;3.582349102164684;2.988412145076797;14;13;0;0;8;1163;
Mon 09:45.000000;8;12.847790479660034;6;8;6;3;2;2342;;25;3.582349102164684;2.988412145076797;14;13;0;0;8;1175;
Mon 09:46.000000;8;12.847790479660034;6;8;6;3;2;2356;;25;3.582349102164684;2.988412145076797;14;13;0;0;8;1182;
Mon 09:46.487112;8;13.426462411880493;6;8;6;3;3;2356;;26;3.582349102164684;2.988412145076797;14;13;0;0;8;1182;
Mon 09:47.000000;8;13.426462411880493;6;8;6;3;3;2374;;26;3.582349102164684;2.988412145076797;14;13;0;0;8;1191;
Mon 09:48.000000;8;13.426462411880493;6;8;6;3;3;2398;;26;3.582349102164684;2.988412145076797;14;13;0;0;8;1203;
Mon 09:48.306289;8;13.426462411880493;6;8;6;3;3;2398;;26;3.582349102164684;3.338230677509965;14;14;0;0;8;1203;
Mon 09:49.000000;8;13.426462411880493;6;8;6;3;3;2402;;26;3.582349102164684;3.338230677509965;14;14;0;0;8;1205;
Mon 09:50.000000;8;13.426462411880493;6;8;6;3;3;2420;;26;3.582349102164684;3.338230677509965;14;14;0;0;8;1214;
Mon 09:51.000000;8;13.426462411880493;6;8;6;3;3;2430;;26;3.582349102164684;3.338230677509965;14;14;0;0;8;1219;
Mon 09:52.000000;8;13.426462411880493;6;8;6;3;3;2444;;26;3.582349102164684;3.338230677509965;14;14;0;0;8;1226;
Mon 09:53.000000;8;13.426462411880493;6;8;6;3;3;2456;;26;3.582349102164684;3.338230677509965;14;14;0;0;8;1232;
Mon 09:53.119945;8;13.852559328079224;6;8;6;3;4;2456;;27;3.582349102164684;3.338230677509965;14;14;0;0;8;1232;
Mon 09:53.000000;8;13.852559328079224;6;8;6;3;4;2456;;27;3.582349102164684;3.6880492099431326;14;15;0;0;8;1232;
Mon 09:54.000000;8;13.852559328079224;6;8;6;3;4;2462;;27;3.582349102164684;3.6880492099431326;14;15;0;0;8;1235;
Mon 09:54.953376;8;13.852559328079224;6;8;6;3;4;2462;;27;3.582349102164684;3.8922738795136227;14;16;0;0;8;1235;
Mon 09:55.000000;8;13.852559328079224;6;8;6;3;4;2482;;27;3.582349102164684;3.8922738795136227;14;16;0;0;8;1245;
Mon 09:55.000000;8;13.852559328079224;6;8;6;3;4;2482;;27;3.582349102164684;4.096498549084113;14;17;0;0;8;1245;
Mon 09:56.000000;9;13.852559328079224;6;8;6;3;4;2499;;27;3.582349102164684;4.096498549084113;14;17;0;0;9;1254;
Mon 09:57.000000;10;13.852559328079224;6;8;6;3;4;2522;;27;4.06650175675918;4.096498549084113;16;17;0;0;10;1266;
Mon 09:58.000000;11;13.852559328079224;6;8;6;3;4;2535;;27;4.06650175675918;4.096498549084113;16;17;0;0;11;1273;
Mon 09:58.581648;11;13.852559328079224;6;8;6;3;4;2535;;27;4.06650175675918;4.3424424246482625;16;18;0;0;11;1273;
