policy,experiment,experiment_label,label,mean,std,n,metric
Hybrid,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,Hybrid: EX14 RepairOpportunityLogistics,49.8,1.229272594305719,10,total_depot_visits
Hybrid,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,Hybrid: EX15 FleetBrokenGlobal,42.0,0.0,10,total_depot_visits
Hybrid,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,Hybrid: EX16 DepotIdlePipeline,41.9,0.31622776601683905,10,total_depot_visits
Hybrid,EX17_CompactMaintenanceFull,EX17 CompactMaintenanceFull,Hybrid: EX17 CompactMaintenanceFull,51.9,1.9119507199599985,10,total_depot_visits
Hybrid,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,Hybrid: EX20 FleetShortageLogistics,44.6,1.5776212754932313,10,total_depot_visits
Hybrid,Imbalance,Imbalance,Hybrid: Imbalance,41.8,0.42163702135578396,10,total_depot_visits
Hybrid,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,Hybrid: Imbalance severity squared temporal,42.2,0.6324555320336757,10,total_depot_visits
Hybrid,Imbalance_severity_temporal,Imbalance severity temporal,Hybrid: Imbalance severity temporal,41.9,0.3162277660168383,10,total_depot_visits
Hybrid,Imbalance_squared,Imbalance squared,Hybrid: Imbalance squared,42.0,0.47140452079103323,10,total_depot_visits
Hybrid,Imbalance_squared_count_temporal,Imbalance squared count temporal,Hybrid: Imbalance squared count temporal,42.0,0.0,10,total_depot_visits
Hybrid,Imbalance_squared_temporal,Imbalance squared temporal,Hybrid: Imbalance squared temporal,42.2,0.42163702135578457,10,total_depot_visits
Hybrid,Imbalance_temporal,Imbalance temporal,Hybrid: Imbalance temporal,42.0,0.0,10,total_depot_visits
Hybrid,R4_NetTemporalAlternative,Net temporal,Hybrid: Net temporal,41.8,0.4216370213557833,10,total_depot_visits
Hybrid,Squared_only,Squared only,Hybrid: Squared only,41.7,0.4830458915396488,10,total_depot_visits
Hybrid,Squared_temporal,Squared temporal,Hybrid: Squared temporal,42.1,0.31622776601683844,10,total_depot_visits
VFA,EX12_ShortagePressure,EX12 ShortagePressure,VFA: EX12 ShortagePressure,43.5,0.9718253158075499,10,total_depot_visits
VFA,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,VFA: EX13 DemandWeightedBacklog,43.6,1.8973665961010269,10,total_depot_visits
VFA,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,VFA: EX14 RepairOpportunityLogistics,50.8,2.485513584307632,10,total_depot_visits
VFA,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,VFA: EX15 FleetBrokenGlobal,44.0,1.0540925533894596,10,total_depot_visits
VFA,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,VFA: EX16 DepotIdlePipeline,44.0,1.699673171197595,10,total_depot_visits
VFA,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,VFA: EX20 FleetShortageLogistics,73.6,3.5339622081862845,10,total_depot_visits
VFA,Imbalance,Imbalance,VFA: Imbalance,47.5,1.9002923751652303,10,total_depot_visits
VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,43.2,1.6865480854231367,10,total_depot_visits
VFA,Imbalance_severity_temporal,Imbalance severity temporal,VFA: Imbalance severity temporal,43.2,1.6193277068654832,10,total_depot_visits
VFA,Imbalance_squared,Imbalance squared,VFA: Imbalance squared,46.1,2.6436506745197805,10,total_depot_visits
VFA,Imbalance_squared_count_temporal,Imbalance squared count temporal,VFA: Imbalance squared count temporal,43.8,0.9189365834726811,10,total_depot_visits
VFA,Imbalance_squared_temporal,Imbalance squared temporal,VFA: Imbalance squared temporal,44.6,2.503331114069145,10,total_depot_visits
VFA,Imbalance_temporal,Imbalance temporal,VFA: Imbalance temporal,44.2,0.9189365834726817,10,total_depot_visits
VFA,R4_NetTemporalAlternative,Net temporal,VFA: Net temporal,44.1,1.5238839267549937,10,total_depot_visits
VFA,Squared_only,Squared only,VFA: Squared only,44.4,1.7126976771553502,10,total_depot_visits
VFA,Squared_temporal,Squared temporal,VFA: Squared temporal,44.6,1.8973665961010278,10,total_depot_visits
Hybrid,EX12_ShortagePressure,EX12 ShortagePressure,Hybrid: EX12 ShortagePressure,205.8,7.420691791650333,10,total_fixed_on_site
Hybrid,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,Hybrid: EX13 DemandWeightedBacklog,212.7,8.731170215574386,10,total_fixed_on_site
Hybrid,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,Hybrid: EX14 RepairOpportunityLogistics,206.5,15.70031846810758,10,total_fixed_on_site
Hybrid,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,Hybrid: EX15 FleetBrokenGlobal,220.7,17.02971259625691,10,total_fixed_on_site
Hybrid,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,Hybrid: EX16 DepotIdlePipeline,210.8,13.95070687177615,10,total_fixed_on_site
Hybrid,EX17_CompactMaintenanceFull,EX17 CompactMaintenanceFull,Hybrid: EX17 CompactMaintenanceFull,210.1,14.27857758244069,10,total_fixed_on_site
Hybrid,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,Hybrid: EX20 FleetShortageLogistics,221.5,13.410195126594296,10,total_fixed_on_site
Hybrid,Imbalance,Imbalance,Hybrid: Imbalance,208.6,17.108802153017933,10,total_fixed_on_site
Hybrid,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,Hybrid: Imbalance severity squared temporal,210.8,18.219647514580394,10,total_fixed_on_site
Hybrid,Imbalance_severity_temporal,Imbalance severity temporal,Hybrid: Imbalance severity temporal,212.6,15.421485733295032,10,total_fixed_on_site
Hybrid,Imbalance_squared,Imbalance squared,Hybrid: Imbalance squared,205.1,13.236733400318641,10,total_fixed_on_site
Hybrid,Imbalance_squared_count_temporal,Imbalance squared count temporal,Hybrid: Imbalance squared count temporal,214.6,8.527081042837061,10,total_fixed_on_site
Hybrid,Imbalance_squared_temporal,Imbalance squared temporal,Hybrid: Imbalance squared temporal,203.5,14.736575812130402,10,total_fixed_on_site
Hybrid,Imbalance_temporal,Imbalance temporal,Hybrid: Imbalance temporal,210.7,15.239203828721934,10,total_fixed_on_site
Hybrid,R4_NetTemporalAlternative,Net temporal,Hybrid: Net temporal,206.3,14.552968387545166,10,total_fixed_on_site
Hybrid,Squared_only,Squared only,Hybrid: Squared only,208.3,11.470251377658059,10,total_fixed_on_site
Hybrid,Squared_temporal,Squared temporal,Hybrid: Squared temporal,214.3,8.097324661063482,10,total_fixed_on_site
VFA,EX12_ShortagePressure,EX12 ShortagePressure,VFA: EX12 ShortagePressure,201.3,6.832113712298542,10,total_fixed_on_site
VFA,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,VFA: EX13 DemandWeightedBacklog,198.0,9.26162932629987,10,total_fixed_on_site
VFA,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,VFA: EX14 RepairOpportunityLogistics,203.8,11.951754868823421,10,total_fixed_on_site
VFA,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,VFA: EX15 FleetBrokenGlobal,211.9,12.740573857649514,10,total_fixed_on_site
VFA,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,VFA: EX16 DepotIdlePipeline,201.7,9.741663102366042,10,total_fixed_on_site
VFA,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,VFA: EX20 FleetShortageLogistics,209.4,16.647989534942518,10,total_fixed_on_site
VFA,Imbalance,Imbalance,VFA: Imbalance,189.7,15.355418877024775,10,total_fixed_on_site
VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,200.1,10.785278031753386,10,total_fixed_on_site
VFA,Imbalance_severity_temporal,Imbalance severity temporal,VFA: Imbalance severity temporal,201.0,10.022197585581939,10,total_fixed_on_site
VFA,Imbalance_squared,Imbalance squared,VFA: Imbalance squared,195.3,12.463725143168256,10,total_fixed_on_site
VFA,Imbalance_squared_count_temporal,Imbalance squared count temporal,VFA: Imbalance squared count temporal,201.3,14.376292212450947,10,total_fixed_on_site
VFA,Imbalance_squared_temporal,Imbalance squared temporal,VFA: Imbalance squared temporal,200.6,12.258330500792788,10,total_fixed_on_site
VFA,Imbalance_temporal,Imbalance temporal,VFA: Imbalance temporal,191.2,16.83778818940038,10,total_fixed_on_site
VFA,R4_NetTemporalAlternative,Net temporal,VFA: Net temporal,195.9,12.377847596052845,10,total_fixed_on_site
VFA,Squared_only,Squared only,VFA: Squared only,207.8,9.354737361952557,10,total_fixed_on_site
VFA,Squared_temporal,Squared temporal,VFA: Squared temporal,209.3,10.934654391733952,10,total_fixed_on_site
Hybrid,EX12_ShortagePressure,EX12 ShortagePressure,Hybrid: EX12 ShortagePressure,220.3,10.677598564804311,10,total_picked_up_to_depot
Hybrid,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,Hybrid: EX13 DemandWeightedBacklog,212.1,8.372574275573793,10,total_picked_up_to_depot
Hybrid,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,Hybrid: EX14 RepairOpportunityLogistics,150.8,8.916900308465445,10,total_picked_up_to_depot
Hybrid,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,Hybrid: EX15 FleetBrokenGlobal,215.8,16.1713051764881,10,total_picked_up_to_depot
Hybrid,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,Hybrid: EX16 DepotIdlePipeline,196.5,8.797095480264428,10,total_picked_up_to_depot
Hybrid,EX17_CompactMaintenanceFull,EX17 CompactMaintenanceFull,Hybrid: EX17 CompactMaintenanceFull,184.6,17.341023934909703,10,total_picked_up_to_depot
Hybrid,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,Hybrid: EX20 FleetShortageLogistics,211.1,11.685223337379751,10,total_picked_up_to_depot
Hybrid,Imbalance,Imbalance,Hybrid: Imbalance,183.3,14.51474346234813,10,total_picked_up_to_depot
Hybrid,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,Hybrid: Imbalance severity squared temporal,195.6,14.960689229518211,10,total_picked_up_to_depot
Hybrid,Imbalance_severity_temporal,Imbalance severity temporal,Hybrid: Imbalance severity temporal,191.7,14.765199325139877,10,total_picked_up_to_depot
Hybrid,Imbalance_squared,Imbalance squared,Hybrid: Imbalance squared,185.0,14.552586635295382,10,total_picked_up_to_depot
Hybrid,Imbalance_squared_count_temporal,Imbalance squared count temporal,Hybrid: Imbalance squared count temporal,193.3,11.851394667107982,10,total_picked_up_to_depot
Hybrid,Imbalance_squared_temporal,Imbalance squared temporal,Hybrid: Imbalance squared temporal,198.2,11.93314711214104,10,total_picked_up_to_depot
Hybrid,Imbalance_temporal,Imbalance temporal,Hybrid: Imbalance temporal,192.6,13.582668695395943,10,total_picked_up_to_depot
Hybrid,R4_NetTemporalAlternative,Net temporal,Hybrid: Net temporal,190.8,13.926792723220792,10,total_picked_up_to_depot
Hybrid,Squared_only,Squared only,Hybrid: Squared only,192.7,10.924488292109817,10,total_picked_up_to_depot
Hybrid,Squared_temporal,Squared temporal,Hybrid: Squared temporal,200.2,10.778579580713675,10,total_picked_up_to_depot
VFA,EX12_ShortagePressure,EX12 ShortagePressure,VFA: EX12 ShortagePressure,210.2,13.23967102646017,10,total_picked_up_to_depot
VFA,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,VFA: EX13 DemandWeightedBacklog,202.1,11.637582795981867,10,total_picked_up_to_depot
VFA,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,VFA: EX14 RepairOpportunityLogistics,101.8,19.083442503326744,10,total_picked_up_to_depot
VFA,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,VFA: EX15 FleetBrokenGlobal,218.5,16.2907608443832,10,total_picked_up_to_depot
VFA,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,VFA: EX16 DepotIdlePipeline,183.2,8.40370288755036,10,total_picked_up_to_depot
VFA,EX20_FleetShortageLogistics,EX20 FleetShortageLogistics,VFA: EX20 FleetShortageLogistics,214.0,17.962924780409967,10,total_picked_up_to_depot
VFA,Imbalance,Imbalance,VFA: Imbalance,46.0,7.453559924999299,10,total_picked_up_to_depot
VFA,Imbalance_severity_squared_temporal,Imbalance severity squared temporal,VFA: Imbalance severity squared temporal,186.4,14.811407015465406,10,total_picked_up_to_depot
VFA,Imbalance_severity_temporal,Imbalance severity temporal,VFA: Imbalance severity temporal,184.1,13.714955340794956,10,total_picked_up_to_depot
VFA,Imbalance_squared,Imbalance squared,VFA: Imbalance squared,57.1,11.892574714221196,10,total_picked_up_to_depot
VFA,Imbalance_squared_count_temporal,Imbalance squared count temporal,VFA: Imbalance squared count temporal,190.7,9.4404566744529,10,total_picked_up_to_depot
VFA,Imbalance_squared_temporal,Imbalance squared temporal,VFA: Imbalance squared temporal,188.4,20.08979840615629,10,total_picked_up_to_depot
VFA,Imbalance_temporal,Imbalance temporal,VFA: Imbalance temporal,177.8,17.806365902863693,10,total_picked_up_to_depot
VFA,R4_NetTemporalAlternative,Net temporal,VFA: Net temporal,172.3,12.970479302374809,10,total_picked_up_to_depot
VFA,Squared_only,Squared only,VFA: Squared only,104.7,11.116054455905957,10,total_picked_up_to_depot
VFA,Squared_temporal,Squared temporal,VFA: Squared temporal,196.4,11.692352676476668,10,total_picked_up_to_depot
Hybrid,EX12_ShortagePressure,EX12 ShortagePressure,Hybrid: EX12 ShortagePressure,6901.1,111.20796334395797,10,total_functional_pickups
Hybrid,EX13_DemandWeightedBacklog,EX13 DemandWeightedBacklog,Hybrid: EX13 DemandWeightedBacklog,6970.4,95.15040725083625,10,total_functional_pickups
Hybrid,EX14_RepairOpportunityLogistics,EX14 RepairOpportunityLogistics,Hybrid: EX14 RepairOpportunityLogistics,7117.3,124.64710185158737,10,total_functional_pickups
Hybrid,EX15_FleetBrokenGlobal,EX15 FleetBrokenGlobal,Hybrid: EX15 FleetBrokenGlobal,6956.7,137.59768247402366,10,total_functional_pickups
Hybrid,EX16_DepotIdlePipeline,EX16 DepotIdlePipeline,Hybrid: EX16 DepotIdlePipeline,7018.3,120.6713166691516,10,total_functional_pickups
Hybrid,EX17_CompactMaintenanceFull,EX17 CompactMaintenanceFull,Hybrid: EX17 CompactMaintenanceFull,7110.6,64.64123211146952,10,total_functional_pickups
