episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
210,0.008014,0.000371,0.1645,0.9062,10000,50,5729.4,0.015102,-2.92151,19.6,0.0
211,0.007487,0.000368,0.1629,0.9118,10000,50,5756.2,0.012973,-2.85006,24.1,0.0
212,0.008003,0.000365,0.1613,0.9126,10000,50,5783.8,0.012704,-2.87915,21.7,0.0
213,0.010019,0.000362,0.1597,0.9092,10000,50,5811.5,0.013979,-2.8162,23.2,0.0
214,0.005563,0.000359,0.1581,0.9235,10000,50,5838.9,0.013067,-2.43476,24.1,0.0
215,0.007129,0.000356,0.1565,0.9048,10000,50,5866.7,0.01219,-3.00925,19.8,0.0
216,0.008017,0.000353,0.1548,0.9178,10000,50,5893.6,0.012842,-2.61395,25.3,0.0
217,0.007439,0.00035,0.1532,0.9115,10000,50,5920.4,0.013296,-2.80426,24.4,0.0
218,0.006387,0.000347,0.1516,0.918,10000,50,5947.6,0.012477,-2.58153,24.1,0.0
219,0.006864,0.000344,0.15,0.9199,10000,50,5974.6,0.013188,-2.53542,26.8,0.0
220,0.008315,0.000341,0.1484,0.901,10000,50,6001.9,0.012082,-3.05163,21.2,0.0
221,0.007775,0.000338,0.1468,0.9148,10000,50,6029.7,0.012625,-2.75544,27.6,0.0
222,0.008837,0.000335,0.1452,0.9193,10000,50,6055.1,0.014908,-2.54251,24.5,0.0
223,0.009157,0.000332,0.1436,0.9136,10000,50,6082.0,0.016756,-2.87806,24.9,0.0
224,0.008151,0.000329,0.142,0.9191,10000,50,6109.2,0.014669,-2.63428,28.5,0.0
225,0.009591,0.000326,0.1404,0.908,10000,50,6136.3,0.016716,-2.99308,21.2,0.0
226,0.008099,0.000323,0.1388,0.927,10000,50,6163.2,0.014487,-2.3527,28.2,0.0
227,0.007706,0.00032,0.1372,0.9225,10000,50,6190.0,0.013913,-2.49285,25.6,0.0
228,0.009214,0.000317,0.1356,0.9186,10000,50,6216.9,0.012674,-2.64984,25.9,0.0
229,0.007304,0.000314,0.134,0.922,10000,50,6242.1,0.01341,-2.50522,27.1,0.0
230,0.0076,0.000311,0.1324,0.9214,10000,50,6268.9,0.01353,-2.47186,27.3,0.0
231,0.008993,0.000308,0.1308,0.9195,10000,50,6295.8,0.012878,-2.6046,24.3,0.0
232,0.007189,0.000305,0.1292,0.9224,10000,50,6322.9,0.014148,-2.50659,28.3,0.0
233,0.008059,0.000302,0.1276,0.9146,10000,50,6350.0,0.013465,-2.73047,25.1,0.0
234,0.009161,0.000299,0.126,0.9153,10000,50,6377.2,0.013691,-2.70942,27.3,0.0
235,0.00917,0.000296,0.1243,0.915,10000,50,6404.5,0.015069,-2.69464,26.4,0.0
236,0.007087,0.000293,0.1227,0.9114,10000,50,6432.0,0.016031,-2.85485,21.8,0.0
237,0.008855,0.00029,0.1211,0.9145,10000,50,6459.0,0.014238,-2.6712,23.6,0.0
238,0.008383,0.000287,0.1195,0.9126,10000,50,6486.8,0.012266,-2.73932,25.4,0.0
239,0.008922,0.000284,0.1179,0.9147,10000,50,6513.7,0.015465,-2.68672,19.9,0.0
240,0.00849,0.000281,0.1163,0.9128,10000,50,6540.9,0.016188,-2.77784,23.0,0.0
241,0.008072,0.000278,0.1147,0.9129,10000,50,6567.9,0.018678,-2.707,24.3,0.0
242,0.008658,0.000275,0.1131,0.9148,10000,50,6594.9,0.017945,-2.71638,26.0,0.0
243,0.011033,0.000272,0.1115,0.9168,10000,50,6621.5,0.018272,-2.59353,25.5,0.0
244,0.010303,0.000269,0.1099,0.9123,10000,50,6649.0,0.014671,-2.81038,25.1,0.0
245,0.007472,0.000266,0.1083,0.908,10000,50,6675.8,0.013462,-2.90055,24.3,0.0
246,0.00972,0.000263,0.1067,0.9089,10000,50,6702.9,0.013521,-2.90266,23.7,0.0
247,0.009714,0.00026,0.1051,0.9163,10000,50,6729.1,0.014687,-2.76627,23.7,0.0
248,0.009856,0.000257,0.1035,0.9111,10000,50,6755.2,0.01519,-2.74299,22.7,0.0
249,0.010535,0.000254,0.1019,0.9117,10000,50,6781.7,0.01684,-2.90282,24.7,0.0
250,0.006701,0.000251,0.1003,0.9144,10000,50,6828.9,0.01592,-2.86152,21.8,0.0
251,0.009027,0.000247,0.0987,0.9141,10000,50,6855.3,0.014179,-2.71981,25.9,0.0
252,0.010438,0.000244,0.0971,0.9181,10000,50,6881.4,0.015231,-2.61117,22.3,0.0
253,0.008775,0.000241,0.0955,0.9123,10000,50,6907.8,0.015873,-2.80356,22.9,0.0
254,0.009232,0.000238,0.0938,0.9106,10000,50,6934.5,0.014358,-2.76184,24.3,0.0
255,0.008137,0.000235,0.0922,0.9173,10000,50,6960.8,0.015924,-2.61844,26.7,0.0
256,0.008579,0.000232,0.0906,0.9179,10000,50,6986.9,0.013527,-2.64189,27.2,0.0
257,0.008157,0.000229,0.089,0.919,10000,50,7013.4,0.013723,-2.57866,28.0,0.0
258,0.00903,0.000226,0.0874,0.9134,10000,50,7039.8,0.013779,-2.85222,23.7,0.0
259,0.008824,0.000223,0.0858,0.922,10000,50,7066.2,0.014474,-2.47522,27.9,0.0
260,0.008415,0.00022,0.0842,0.9129,10000,50,7092.6,0.013906,-2.73591,19.5,0.0
261,0.007376,0.000217,0.0826,0.9209,10000,50,7119.4,0.013809,-2.58471,26.9,0.0
262,0.007789,0.000214,0.081,0.9157,10000,50,7145.3,0.013444,-2.77434,24.8,0.0
263,0.008657,0.000211,0.0794,0.9218,10000,50,7170.3,0.014014,-2.52505,24.9,0.0
264,0.007635,0.000208,0.0778,0.9134,10000,50,7197.0,0.013045,-2.78033,21.1,0.0
265,0.008245,0.000205,0.0762,0.9148,10000,50,7223.5,0.013605,-2.79515,24.2,0.0
266,0.007733,0.000202,0.0746,0.9205,10000,50,7249.8,0.013284,-2.45785,27.6,0.0
267,0.008731,0.000199,0.073,0.9081,10000,50,7275.8,0.012853,-2.91255,24.3,0.0
268,0.009886,0.000196,0.0714,0.9198,10000,50,7301.9,0.014213,-2.67607,27.5,0.0
269,0.007386,0.000193,0.0698,0.9249,10000,50,7327.9,0.013578,-2.48784,24.2,0.0
270,0.010304,0.00019,0.0682,0.9154,10000,50,7353.8,0.013881,-2.73833,24.4,0.0
271,0.007765,0.000187,0.0666,0.9206,10000,50,7378.9,0.013461,-2.49364,26.6,0.0
