episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
43,0.930041521044299,-4.979903813847304,-4.352069078507917,-2.8034259378578223,-2.764952230955134,-0.6979931390090621,-0.48140066303620815,0.056321,0.1,0.154496,0.2,1532,810,1381,33477,38228,38220,0,0,0,0,3488,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9343449429476074,-4.989076657821088,-4.376656886253498,-2.799730408457357,-2.772063629026948,-0.6922045205141356,-0.4796522730734099,0.055754,0.1,0.153571,0.2,1517,681,1130,33478,38098,38093,0,0,0,0,3496,3489,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9335888750222856,-5.024182060310714,-4.4069205005730945,-2.805848271804603,-2.7948976608805536,-0.681330724695012,-0.47942156673847214,0.055199,0.1,0.152652,0.2,1391,844,1248,33654,38231,38226,0,0,0,0,3492,3493,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9297721219295649,-5.071046209109,-4.457854428771018,-2.845970707690628,-2.82572203534853,-0.6946132574290841,-0.4829718904111092,0.054655,0.1,0.151738,0.2,1596,777,1402,33790,38289,38284,0,0,0,0,3423,3432,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9376597600216522,-5.066752537139082,-4.466404705980726,-2.854690565074651,-2.8338891176508603,-0.6937023878354629,-0.48000705098030055,0.054121,0.1,0.15083,0.2,1310,763,1155,33253,38032,38025,0,0,0,0,3504,3514,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9393447062009207,-5.06611289047432,-4.469072470741461,-2.858029832690516,-2.8485578606084867,-0.6859993348999139,-0.4748149936858012,0.053598,0.1,0.149927,0.2,1290,726,1367,33237,37932,37928,0,0,0,0,3458,3476,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9396775251095282,-5.109433315294894,-4.5047092358594725,-2.8887462843133362,-2.8783140255712616,-0.6896455236219526,-0.4780761195028369,0.053085,0.1,0.14903,0.2,1382,642,1222,33553,38166,38158,0,0,0,0,3526,3529,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9408982035928144,-5.110014941837586,-4.497116611979207,-2.873621344883074,-2.8780115841518836,-0.6792167948047029,-0.4724436895975905,0.052582,0.1,0.148138,0.2,1309,665,1344,33400,38260,38250,0,0,0,0,3481,3461,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9311381702343029,-5.130880947442574,-4.515739854103932,-2.896987143956827,-2.9031059741568757,-0.6790055012177223,-0.4720877081108246,0.052088,0.1,0.147251,0.2,1484,829,1473,33589,38212,38198,0,0,0,0,3454,3457,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9351944469703859,-5.155113251708757,-4.532160479593377,-2.904284360654724,-2.9147513426977056,-0.6760521479065701,-0.4681818545160395,0.051603,0.1,0.14637,0.2,1414,724,1427,32991,37721,37714,0,0,0,0,3498,3505,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.930642679607054,-5.196340198863706,-4.565888851150586,-2.934956663906457,-2.9391636396907184,-0.6796215187730389,-0.471319111805378,0.051127,0.1,0.145494,0.2,1492,852,1346,33796,38474,38469,0,0,0,0,3477,3457,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9353461237745835,-5.234954640706511,-4.5892522348189,-2.968220693710624,-2.973030183108179,-0.684660956738581,-0.47481244707536074,0.05066,0.1,0.144623,0.2,1448,702,1196,33254,37944,37942,0,0,0,0,3470,3467,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9418848645196606,-5.234845195399151,-4.5931716289399525,-2.9854318241201723,-3.001832033117659,-0.6787449222235805,-0.4743649964645946,0.050201,0.1,0.143757,0.2,1246,665,1002,32883,37667,37659,0,0,0,0,3460,3469,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9254202300206429,-5.292301591394328,-4.651006706945684,-3.0056875352272696,-3.0510060691509,-0.6828188903843935,-0.4823638141358507,0.049751,0.1,0.142897,0.2,1576,953,1290,33910,38685,38678,0,0,0,0,3522,3519,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9376656262882045,-5.3240389401981,-4.695739555350688,-3.0242473023159415,-3.0737259496524234,-0.6852581210102396,-0.4844426424266291,0.049308,0.1,0.142042,0.2,1485,632,1363,33962,38671,38661,0,0,0,0,3544,3555,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9318427695636495,-5.374874890000609,-4.7362051032505645,-3.058958169354244,-3.107340419855349,-0.694266566332387,-0.48627739909333384,0.048874,0.1,0.141191,0.2,1517,751,1312,33276,37842,37832,0,0,0,0,3443,3443,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9376341485534629,-5.385358916208427,-4.752618930185585,-3.0522672055164626,-3.111592185227244,-0.6844304060554738,-0.4832306128580366,0.048447,0.1,0.140346,0.2,1358,705,1111,33079,37810,37804,0,0,0,0,3462,3469,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9347675434631957,-5.4091692459002605,-4.776123926787837,-3.048348416806675,-3.123927221177169,-0.681674582463972,-0.4813579769213726,0.048027,0.1,0.139506,0.2,1433,732,1438,33189,37984,37977,0,0,0,0,3536,3541,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.928227545263904,-5.449644491329025,-4.805635659321874,-3.0674639087842173,-3.1480774212696727,-0.6843814477601649,-0.48174288885262195,0.047615,0.1,0.138671,0.2,1605,825,1499,33857,38184,38177,0,0,0,0,3631,3636,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9318860487338748,-5.48162490167521,-4.837117243459431,-3.086532208202956,-3.174778960029366,-0.6866291333961182,-0.48148490358901186,0.047209,0.1,0.137841,0.2,1487,794,1265,33488,38123,38117,0,0,0,0,3514,3522,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9321897853617932,-5.518314852308263,-4.864782487689225,-3.10011361270501,-3.1921096830251035,-0.6841406107942474,-0.48378564328145396,0.046811,0.1,0.137016,0.2,1642,639,1218,33638,38169,38162,0,0,0,0,3511,3506,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9337298472314474,-5.550239782367833,-4.88988672533651,-3.1509192464931437,-3.2311877385153647,-0.6938556201541066,-0.4867076114894619,0.046419,0.1,0.136196,0.2,1410,785,1097,33122,37688,37684,0,0,0,0,3570,3569,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9362470049437385,-5.5749735785628465,-4.907962788193271,-3.1661562319818763,-3.250428130472795,-0.6920591979003498,-0.4839279562530678,0.046033,0.1,0.135381,0.2,1409,693,1307,32971,37605,37599,0,0,0,0,3506,3503,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9414842434447919,-5.570376357582171,-4.913613561004934,-3.1493227981742495,-3.2502377387596093,-0.6818415060117932,-0.4790284667854415,0.045654,0.1,0.134571,0.2,1213,733,1462,33256,38069,38063,0,0,0,0,3516,3521,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9368007617233992,-5.55864202551488,-4.90873144272607,-3.149071099420915,-3.2559282186362988,-0.6716824843471498,-0.474215844833245,0.045281,0.1,0.133765,0.2,1378,746,1349,33608,38484,38483,0,0,0,0,3488,3492,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9397438589124502,-5.566561177419952,-4.922844709627614,-3.1377673055812814,-3.2604750549179826,-0.6651335183594598,-0.4726922217774649,0.044914,0.1,0.132964,0.2,1312,697,1257,33341,38076,38071,0,0,0,0,3525,3533,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.938937133072407,-5.578743598674435,-4.945123658516815,-3.124690876590223,-3.257182697621548,-0.6581460111950582,-0.47241163695228244,0.044554,0.1,0.132169,0.2,1295,702,1082,32704,37425,37419,0,0,0,0,3537,3536,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9332973102785783,-5.581149485555799,-4.956896514739063,-3.1316312682506466,-3.2689210784554055,-0.6584104047692808,-0.46870020665787254,0.044198,0.1,0.131377,0.2,1482,740,1237,33312,37811,37801,0,0,0,0,3539,3547,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9375673410750629,-5.58729483851181,-4.967649456529831,-3.1358640393917145,-3.2780538553996426,-0.6539650188222252,-0.4639338309295159,0.043849,0.1,0.130591,0.2,1347,739,1401,33412,38155,38151,0,0,0,0,3433,3432,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
