Time;battery starvations;bike arrival;bike departure;bike starvations;escooter arrival;escooter departure;escooter starvations;events;failed events;long congestions;random trips;roaming distance for bikes;roaming distance for escooters;roaming distance for locks;roaming for bikes;roaming for escooters;roaming for locks;short congestions;starvations;trips;
Mon 07:41.858997;;43;52;;93;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
Mon 07:41.819841;;43;52;;94;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
Mon 07:41.200818;;44;52;;94;102;23;334;24;1;3;;7.501639970210072;0.9911246384883508;;58;3;2;23;177;
Mon 07:42.000000;;44;54;;94;104;23;342;24;1;3;;7.676586837555715;0.9911246384883508;;59;3;2;23;181;
Mon 07:42.690396;;44;54;;94;104;23;343;25;2;3;;7.676586837555715;1.7180045653891702;;59;4;2;23;181;
Mon 07:42.965566;;44;54;;95;104;23;343;25;2;3;;7.676586837555715;1.7180045653891702;;59;4;2;23;181;
Mon 07:42.408094;;44;54;;96;104;23;343;25;2;3;;7.676586837555715;1.7180045653891702;;59;4;2;23;181;
Mon 07:43.000000;;44;55;;97;107;23;351;25;2;3;;7.901078107873419;1.7180045653891702;;61;4;2;23;185;
Mon 07:43.907165;;45;55;;97;107;23;351;25;2;3;;7.901078107873419;1.7180045653891702;;61;4;2;23;185;
Mon 07:43.735444;;46;55;;97;107;23;351;25;2;3;;7.901078107873419;1.7180045653891702;;61;4;2;23;185;
Mon 07:43.977588;;47;55;;97;107;23;351;25;2;3;;7.901078107873419;1.7180045653891702;;61;4;2;23;185;
Mon 07:44.000000;;47;58;;97;109;23;361;25;2;3;;7.995602115158724;1.7180045653891702;;62;4;2;23;190;
Mon 07:45.000000;;47;58;;97;112;23;367;25;2;3;;8.220081719351795;1.7180045653891702;;64;4;2;23;193;
Mon 07:45.989200;;47;58;;98;112;23;367;25;2;3;;8.220081719351795;1.7180045653891702;;64;4;2;23;193;
Mon 07:45.261338;;47;58;;99;112;23;367;25;2;3;;8.220081719351795;1.7180045653891702;;64;4;2;23;193;
Mon 07:45.021991;;47;58;;100;112;23;367;25;2;3;;8.220081719351795;1.7180045653891702;;64;4;2;23;193;
Mon 07:45.660913;;47;58;;100;112;23;368;26;3;3;;8.220081719351795;2.083055356683322;;64;5;2;23;193;
Mon 07:45.099283;;47;58;;101;112;23;368;26;3;3;;8.220081719351795;2.083055356683322;;64;5;2;23;193;
Mon 07:46.000000;;47;59;;101;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.271355;;48;59;;101;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.455743;;48;59;;102;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.528194;;49;59;;102;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.417536;;49;59;;103;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.492805;;50;59;;103;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.540355;;50;59;;104;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.098721;;50;59;;105;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.927023;;51;59;;105;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.792511;;51;59;;106;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:46.101838;;51;59;;107;112;24;371;27;3;3;;8.220081719351795;2.083055356683322;;64;5;2;24;195;
Mon 07:47.000000;;51;64;;107;116;24;389;27;3;4;;8.394138000924302;2.083055356683322;;65;5;2;24;204;
Mon 07:48.000000;;51;64;;107;119;24;395;27;3;4;;8.68130928796171;2.083055356683322;;67;5;2;24;207;
Mon 07:48.620541;;52;64;;107;119;24;395;27;3;4;;8.68130928796171;2.083055356683322;;67;5;2;24;207;
Mon 07:48.134126;;53;64;;107;119;24;395;27;3;4;;8.68130928796171;2.083055356683322;;67;5;2;24;207;
Mon 07:48.583058;;54;64;;107;119;24;395;27;3;4;;8.68130928796171;2.083055356683322;;67;5;2;24;207;
Mon 07:48.487876;;54;64;;108;119;24;395;27;3;4;;8.68130928796171;2.083055356683322;;67;5;2;24;207;
Mon 07:49.000000;;54;67;;108;125;24;413;27;3;4;;9.11220342630768;2.083055356683322;;71;5;2;24;216;
Mon 07:49.155577;;54;67;;108;125;24;414;28;4;4;;9.11220342630768;2.622389117935901;;71;6;2;24;216;
Mon 07:49.272940;;55;67;;108;125;24;414;28;4;4;;9.11220342630768;2.622389117935901;;71;6;2;24;216;
Mon 07:49.461707;;56;67;;108;125;24;414;28;4;4;;9.11220342630768;2.622389117935901;;71;6;2;24;216;
Mon 07:50.000000;;56;68;;108;130;24;426;28;4;4;;9.336247983229653;2.622389117935901;;73;6;2;24;222;
Mon 07:50.850083;;57;68;;108;130;24;426;28;4;4;;9.336247983229653;2.622389117935901;;73;6;2;24;222;
Mon 07:50.704423;;57;68;;109;130;24;426;28;4;4;;9.336247983229653;2.622389117935901;;73;6;2;24;222;
Mon 07:51.000000;;57;70;;109;132;24;434;28;4;4;;9.542667336008853;2.622389117935901;;75;6;2;24;226;
Mon 07:51.093874;;57;70;;109;132;24;435;28;4;4;;9.542667336008853;2.925789821942527;;75;7;3;24;226;
Mon 07:51.174557;;57;70;;109;132;24;436;28;4;4;;9.542667336008853;3.0579121777362928;;75;8;4;24;226;
Mon 07:51.841532;;57;70;;110;132;24;436;28;4;4;;9.542667336008853;3.0579121777362928;;75;8;4;24;226;
