rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0.6183451,0.21937038,0.19407989,1.0,0.98571426,0.13432837,0.08955224,0.24435897,0.12016534,0.1397891,0.049589813
0.61962795,0.21931207,0.19733106,1.0,0.98571426,0.13432837,0.104477614,0.2476346,0.12157568,0.14141434,0.0502458
0.62347656,0.22098167,0.1937053,1.0,0.98571426,0.11940298,0.104477614,0.25448766,0.11922252,0.1431596,0.048533507
0.6375882,0.2278063,0.19928929,1.0,0.9479167,0.13432837,0.104477614,0.2416518,0.12339945,0.13049862,0.049787264
0.64015394,0.22672024,0.20007722,1.0,0.9479167,0.13432837,0.104477614,0.22902058,0.12696967,0.11618795,0.049369026
0.6427197,0.2215747,0.20495471,1.0,0.98571426,0.11940298,0.104477614,0.2310899,0.12896426,0.11421304,0.05101939
0.6504169,0.2232914,0.21306013,1.0,1.0,0.11940298,0.104477614,0.23476854,0.13190125,0.11285002,0.052453034
0.6542656,0.22211154,0.21172632,1.0,1.0,0.11940298,0.104477614,0.23898555,0.13383824,0.11294145,0.052027334
0.6542656,0.22527328,0.20763673,1.0,1.0,0.13432837,0.104477614,0.24237652,0.13132009,0.11482846,0.050604444
0.6003849,0.246516,0.19001263,0.98125,1.0,0.14925373,0.11940298,0.20877706,0.15975624,0.101682454,0.066290006
0.5849904,0.24201411,0.19063084,0.98125,1.0,0.13432837,0.11940298,0.21036692,0.16187744,0.10296069,0.06601649
0.56189865,0.24287488,0.16865277,0.98125,1.0,0.13432837,0.104477614,0.2130386,0.15492322,0.10176024,0.057659134
0.54522127,0.22643079,0.1596207,1.0,0.89666665,0.13432837,0.05970149,0.21349157,0.1543697,0.100645855,0.050083075
0.53367543,0.23324087,0.14256583,0.9785714,0.85,0.11940298,0.04477612,0.25179163,0.13496901,0.102931365,0.040953062
0.5144323,0.22974116,0.1320821,0.975,0.88714284,0.07462686,0.05970149,0.23055007,0.12941152,0.08218074,0.03677322
0.6132136,0.2734818,0.1636791,1.0,0.92333335,0.11940298,0.07462686,0.23417109,0.13484912,0.07674705,0.03431258
0.62475944,0.2928209,0.16250874,1.0,0.88,0.1641791,0.05970149,0.28103417,0.14758816,0.09684434,0.030767798
0.6337396,0.2963982,0.17240407,1.0,0.88222224,0.20895523,0.04477612,0.29074606,0.15489917,0.10727062,0.032221362
0.6042335,0.292987,0.16855991,1.0,0.89666665,0.20895523,0.05970149,0.30526188,0.15402281,0.11223379,0.030559447
0.60679924,0.27787519,0.16573733,1.0,0.88472223,0.17910448,0.04477612,0.31719935,0.15471166,0.11151529,0.028695833
0.59525335,0.27651024,0.15648824,1.0,0.8625,0.17910448,0.029850746,0.326204,0.15340969,0.117568195,0.023910305
0.53367543,0.2567352,0.15259033,1.0,0.9030303,0.14925373,0.05970149,0.26951835,0.18742238,0.08091894,0.031391475
0.5349583,0.25241396,0.15832657,1.0,0.90909094,0.1641791,0.07462686,0.27774778,0.18826781,0.083801374,0.034057267
0.51314944,0.24256721,0.15804432,1.0,0.9727273,0.13432837,0.08955224,0.26839384,0.19413926,0.06624646,0.038213804
0.5182809,0.23758945,0.15600696,1.0,0.9727273,0.13432837,0.07462686,0.27811146,0.213003,0.061375313,0.042093925
0.5157152,0.23252326,0.16382325,1.0,0.9030303,0.14925373,0.05970149,0.25667828,0.22596304,0.05945181,0.049051404
0.5195638,0.22957133,0.16476172,1.0,0.8888889,0.14925373,0.04477612,0.27646366,0.25266826,0.061166383,0.055200808
0.5208467,0.23982598,0.14284292,1.0,0.8676768,0.13432837,0.029850746,0.28588715,0.23415504,0.06386832,0.047517255
0.61449647,0.2916832,0.15459573,1.0,0.90166664,0.1641791,0.05970149,0.2901989,0.24231401,0.059149183,0.054468475
0.588839,0.2831644,0.14618146,1.0,0.90166664,0.17910448,0.05970149,0.29148674,0.25682372,0.060419083,0.052092172
0.56703013,0.26924115,0.13674492,1.0,0.9116667,0.14925373,0.07462686,0.2859071,0.2538857,0.05712156,0.041800316
0.5926876,0.26997894,0.14379042,1.0,0.8925,0.1641791,0.05970149,0.29184672,0.25549155,0.058180995,0.044483434
0.5978191,0.25516263,0.13734035,0.9785714,0.9116667,0.104477614,0.07462686,0.2866834,0.25386363,0.05360522,0.04581891
0.59012187,0.25009516,0.13370928,1.0,0.89166665,0.104477614,0.05970149,0.28167868,0.26104295,0.053113412,0.04249187
0.6119307,0.26812547,0.13855219,1.0,0.89166665,0.104477614,0.05970149,0.299728,0.26537928,0.06003526,0.045468863
0.5542014,0.24056052,0.14359061,0.97692305,0.8888889,0.104477614,0.04477612,0.2762944,0.2674599,0.054679263,0.04816097
0.568313,0.24586721,0.15055628,1.0,0.8888889,0.11940298,0.04477612,0.27287352,0.2700187,0.054115716,0.05008157
0.5400898,0.23282099,0.1310255,1.0,0.8888889,0.104477614,0.04477612,0.26891452,0.24766247,0.054161087,0.037133876
0.5208467,0.23341003,0.11502076,1.0,0.87606835,0.104477614,0.029850746,0.26378748,0.2267018,0.051464424,0.029668646
0.5516357,0.25376293,0.11820179,1.0,0.8888889,0.17910448,0.04477612,0.26269093,0.19722287,0.05859825,0.037190054
0.52469534,0.22136898,0.120768934,1.0,0.9236111,0.13432837,0.05970149,0.23401867,0.19564402,0.044453304,0.03789373
0.5105837,0.21736081,0.10872701,1.0,0.9625,0.11940298,0.05970149,0.27234146,0.19005802,0.051032174,0.04052793
0.51699805,0.21264723,0.10637716,0.97692305,0.85555553,0.08955224,0.04477612,0.49083197,0.18508984,0.09403032,0.044064283
0.5503528,0.24249688,0.11411913,1.0,0.89444447,0.13432837,0.05970149,0.51548755,0.18557894,0.11933871,0.049689274
0.55676717,0.23033924,0.12415675,1.0,0.95384616,0.11940298,0.05970149,0.48061532,0.19270678,0.11600635,0.05193209
0.56703013,0.22879481,0.13134265,1.0,0.9653846,0.13432837,0.05970149,0.44360825,0.1873194,0.10414236,0.05430309
0.54137266,0.23207967,0.11377578,1.0,0.875,0.11940298,0.05970149,0.41591382,0.1604345,0.08841807,0.04509104
0.5644644,0.24306302,0.12025899,1.0,0.89880955,0.14925373,0.05970149,0.3677229,0.14792015,0.062390056,0.042026807
0.57729316,0.24830978,0.11025507,1.0,0.85,0.1641791,0.04477612,0.26430455,0.13447437,0.05665306,0.0339247
0.4964721,0.25772172,0.10668032,1.0,0.8638095,0.17910448,0.04477612,0.17738073,0.13131835,0.06512094,0.030073354
0.50416934,0.2554029,0.10606364,1.0,0.7392857,0.1641791,0.029850746,0.1607156,0.13302796,0.06440602,0.02722905
0.5157152,0.25595817,0.10324301,1.0,0.7431818,0.17910448,0.0,0.15767322,0.1406362,0.061332345,0.024120022
0.49390635,0.22753651,0.10759291,1.0,0.7392857,0.13432837,0.014925373,0.1426065,0.13842478,0.050701544,0.025901282
0.49775496,0.23225628,0.11998773,1.0,0.85714287,0.13432837,0.04477612,0.1308903,0.13858837,0.052533012,0.039382186
0.5054522,0.24114046,0.10433728,1.0,0.7392857,0.14925373,0.029850746,0.13436943,0.11065664,0.052824438,0.032780766
0.55676717,0.24885777,0.108868055,1.0,0.76944447,0.14925373,0.04477612,0.09978272,0.108085945,0.03528985,0.03912653
0.56574726,0.2461518,0.11882563,1.0,0.76944447,0.1641791,0.04477612,0.09267188,0.11420953,0.032655522,0.03781093
0.56703013,0.24873625,0.12763482,1.0,0.81666666,0.17910448,0.04477612,0.09062659,0.11640204,0.03545828,0.038066417
0.5439384,0.2586528,0.107118465,1.0,0.76944447,0.20895523,0.04477612,0.090685904,0.097423665,0.03779545,0.027360119
0.5503528,0.25510126,0.11210617,1.0,0.76944447,0.14925373,0.04477612,0.07794678,0.085918725,0.030276148,0.028076252
0.52854395,0.20782162,0.12530372,1.0,0.79816175,0.13432837,0.04477612,0.08351221,0.09167617,0.04415123,0.030301914
0.5221296,0.21781969,0.11617488,1.0,0.79816175,0.13432837,0.04477612,0.07248933,0.07980633,0.0332466,0.029712133
0.5105837,0.2117215,0.12116077,1.0,0.8202206,0.11940298,0.04477612,0.072306514,0.08021807,0.0366686,0.030167114
0.49518922,0.20977163,0.113071054,1.0,0.84705883,0.11940298,0.029850746,0.06753709,0.06876948,0.034996137,0.029709892
0.5105837,0.21709543,0.10885086,1.0,0.8426471,0.14925373,0.04477612,0.06766503,0.059473626,0.039102584,0.023809588
0.4913406,0.20271532,0.10491945,1.0,0.8426471,0.14925373,0.04477612,0.055277992,0.048384394,0.036133662,0.018404868
0.4964721,0.20233493,0.11283362,1.0,0.76944447,0.11940298,0.04477612,0.06591714,0.048970263,0.04191293,0.019793741
0.5054522,0.2070061,0.100268684,1.0,0.625,0.104477614,0.014925373,0.053473976,0.040473256,0.027403122,0.014575897
