episode,service_level,rebalancing_imbalance,squared_starvation_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
69,0.9424438842876005,-3.6812146681299245,-3.088003234440921,-1.8841951624550783,-3.043235222752113,0.035979,0.1,0.110613,0.2,1280,638,1087,33324,38060,38052,0,0,0,0,3804,3790,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9440631021194605,-3.511378632976551,-3.053244537319582,-1.8804834620354505,-3.0342783845309595,0.035649,0.1,0.109668,0.2,1254,604,1174,33216,37943,37941,0,0,0,0,3869,3877,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9408634477782455,-3.501281797154379,-3.085346246482798,-1.9761886272825344,-3.1216793938196536,0.035324,0.1,0.10873,0.2,1255,712,1171,33262,38097,38085,0,0,0,0,3852,3846,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9403683484312196,-3.639290719086562,-3.1207344315075973,-1.9803898037990157,-3.135189618906041,0.035005,0.1,0.107801,0.2,1186,802,1294,33338,38348,38343,0,0,0,0,3856,3844,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9425845878670442,-3.5984583783784756,-3.132085356540142,-1.9709180473226193,-3.1248442105064953,0.034692,0.1,0.10688,0.2,1248,678,1154,33545,38481,38477,0,0,0,0,3899,3897,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9436439416493004,-3.3073903480254527,-3.052233458239952,-1.9486953414230337,-3.1129680813366147,0.034384,0.1,0.105966,0.2,1274,619,1278,33590,38456,38449,0,0,0,0,3743,3745,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9425796661608498,-3.384076097498841,-3.066095282496129,-1.9778604302051208,-3.1624964767544315,0.034082,0.1,0.10506,0.2,1208,684,1282,32950,37931,37916,0,0,0,0,3845,3851,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9526338147833475,-3.2349428998214473,-2.9960142319730023,-1.9351871953098827,-3.1327584919435583,0.033785,0.1,0.104162,0.2,1079,482,1262,32956,37991,37989,0,0,0,0,3811,3811,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9406213834238405,-3.2841675001071797,-2.988561725374081,-1.889238698788576,-3.0880371393253756,0.033493,0.1,0.103272,0.2,1377,624,1461,33699,38659,38654,0,0,0,0,3822,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.944609573348195,-3.266063299239837,-2.996084726854081,-1.8827385097282108,-3.081393258189517,0.033206,0.1,0.102389,0.2,1142,647,1165,32298,37514,37512,0,0,0,0,3840,3838,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9417936623125303,-3.2046615183303455,-2.9707037934613623,-1.8444093755544657,-3.079593096016887,0.032925,0.1,0.101514,0.2,1244,681,1094,33072,37916,37914,0,0,0,0,3798,3783,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.936594364604719,-3.486910626417544,-3.045460373825733,-1.909949786832972,-3.1290818722857554,0.032647,0.1,0.100647,0.2,1395,736,1148,33609,38266,38256,0,0,0,0,3919,3916,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9482722260717621,-3.440633106366837,-3.0218494954591764,-1.9072502683638364,-3.121903681276085,0.032375,0.1,0.099786,0.2,1069,648,1001,33193,38277,38274,0,0,0,0,3729,3715,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9409779759573378,-3.572939380180175,-3.0701216141602488,-1.9136680498747185,-3.128501573119909,0.032107,0.1,0.098934,0.2,1313,646,1216,33191,38155,38154,0,0,0,0,3841,3848,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9397460145906512,-3.7193455394387995,-3.1176886681232476,-1.8943913214871446,-3.1142978236743035,0.031843,0.1,0.098088,0.2,1270,737,1322,33309,38299,38289,0,0,0,0,3838,3836,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9393352790517601,-3.8733757766255414,-3.136408338979934,-1.891686126118225,-3.116577292929691,0.031584,0.1,0.09725,0.2,1338,699,1149,33578,38465,38460,0,0,0,0,3861,3872,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9488510229795404,-3.713453786401799,-3.0857411288676433,-1.8616057116774896,-3.0781035322022525,0.031329,0.1,0.096418,0.2,1098,607,1092,33334,38312,38305,0,0,0,0,3752,3746,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9443567364689762,-3.646620124688286,-3.066640526475846,-1.845980055294621,-3.0559867389489113,0.031077,0.1,0.095594,0.2,1257,611,1319,33571,38335,38331,0,0,0,0,3844,3838,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9452849369132332,-3.5997511716453743,-3.0627621309449737,-1.8201425601572299,-3.0331433029341897,0.03083,0.1,0.094777,0.2,1153,677,1269,33446,38446,38442,0,0,0,0,3785,3792,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9378360418051108,-3.909432419353679,-3.159832008784753,-1.9185013012061347,-3.125915748074781,0.030587,0.1,0.093967,0.2,1266,792,1298,33106,37675,37671,0,0,0,0,3805,3790,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.944576477757465,-3.8980942295825414,-3.161262329803938,-1.9144929265469721,-3.108061392338627,0.030348,0.1,0.093164,0.2,1103,716,1256,32820,37796,37790,0,0,0,0,3759,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.943564416069385,-3.9908886687585783,-3.197954363692167,-1.9082064745291338,-3.111229286094154,0.030112,0.1,0.092368,0.2,1193,681,1297,33206,38116,38113,0,0,0,0,3899,3916,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9441167709264224,-4.043639627927503,-3.2027512861690073,-1.9297384902126145,-3.1151385260487165,0.02988,0.1,0.091578,0.2,1210,666,1013,33570,38282,38279,0,0,0,0,3907,3919,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9445420402229222,-3.9982857671751266,-3.1906247158464582,-1.9155546564177057,-3.1175450262187447,0.029652,0.1,0.090796,0.2,1150,681,1291,33016,38000,37993,0,0,0,0,3849,3844,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
93,0.9394166716677669,-4.005901814543035,-3.225853683821717,-1.9327095349639973,-3.1455333560103047,0.029427,0.1,0.09002,0.2,1359,660,1131,33326,38083,38076,0,0,0,0,3771,3771,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
94,0.9492318771003361,-3.7144016026846787,-3.1437575540955187,-1.8720180434387361,-3.095366207481018,0.029205,0.1,0.08925,0.2,1016,676,1163,33328,38426,38421,0,0,0,0,3810,3799,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
95,0.9481076509499502,-3.6860265511736787,-3.137542076778251,-1.86328024033503,-3.092225760939798,0.028987,0.1,0.088487,0.2,1184,534,1104,33107,37842,37835,0,0,0,0,3795,3807,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
96,0.9409984418075032,-3.7666355335367,-3.1695529560096642,-1.9288852981145108,-3.1348893858628433,0.028772,0.1,0.087731,0.2,1289,680,1260,33372,38277,38273,0,0,0,0,3911,3915,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
97,0.9389057842281172,-3.8408794408208147,-3.2024215418644038,-1.9950903465688872,-3.1838924411978664,0.02856,0.1,0.086981,0.2,1379,650,1133,33211,37857,37850,0,0,0,0,3892,3887,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
98,0.935881191619766,-3.8874017248242065,-3.223529400388092,-2.0211730293983963,-3.192634977229942,0.028351,0.1,0.086238,0.2,1421,755,1247,33937,38667,38661,0,0,0,0,3917,3927,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
