episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
36,0.9350625793578814,-6.087581950152111,-4.94021041678043,-1.3343021629821776,-0.8481929330691,0.060632,0.1,0.161127,0.2,1377,771,1225,33078,37752,37743,0,0,0,0,3475,3465,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9399854510184287,-6.147744436152538,-4.974597329363576,-1.3490129181348547,-0.8556301568340536,0.059976,0.1,0.160162,0.2,1223,757,1092,32992,37767,37758,0,0,0,0,3417,3409,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9398523213057906,-6.199122813881505,-5.006037854670729,-1.3616231583563612,-0.8624359868671561,0.059334,0.1,0.159204,0.2,1244,768,1093,33451,38388,38382,0,0,0,0,3415,3421,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9424931756141948,-6.242309227954519,-5.040229064807565,-1.3691538240280836,-0.8676168703511392,0.058706,0.1,0.158251,0.2,1258,638,1210,32970,37792,37784,0,0,0,0,3468,3448,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9321039648637266,-6.309765905269129,-5.087691730412547,-1.3862209066966351,-0.8783046704788443,0.058091,0.1,0.157304,0.2,1413,844,1625,33242,38056,38045,0,0,0,0,3413,3411,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9384844424594313,-6.348755059694905,-5.112457931528165,-1.39366689975151,-0.8816931333882411,0.057488,0.1,0.156362,0.2,1287,779,1363,33585,38408,38394,0,0,0,0,3449,3467,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9388208106546659,-6.3884906767333565,-5.138847041490238,-1.4044687765244714,-0.8880504244887824,0.056899,0.1,0.155426,0.2,1271,741,1561,32887,37652,37645,0,0,0,0,3443,3438,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9333193415884629,-6.428864969213795,-5.164295041905964,-1.4166863158002077,-0.8961367734563946,0.056321,0.1,0.154496,0.2,1491,733,1487,33353,38145,38141,0,0,0,0,3400,3408,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9364519760620964,-6.4666361954593095,-5.191786336225777,-1.4214345248223828,-0.8984762386547976,0.055754,0.1,0.153571,0.2,1450,695,1281,33754,38441,38430,0,0,0,0,3444,3455,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9352051190049038,-6.533452266615643,-5.235983077076194,-1.4309421412179784,-0.9045828820713758,0.055199,0.1,0.152652,0.2,1401,766,1303,33444,38011,38004,0,0,0,0,3443,3453,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9316650909950366,-6.6040322862198275,-5.2930311964594665,-1.4421327597140747,-0.9142723137353441,0.054655,0.1,0.151738,0.2,1435,878,1299,33848,38508,38501,0,0,0,0,3486,3481,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9370150064917419,-6.631735305567352,-5.310710132321832,-1.4576791052442852,-0.9155104293116999,0.054121,0.1,0.15083,0.2,1378,708,1356,33119,37830,37822,0,0,0,0,3458,3476,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9367662513136166,-6.664753324147649,-5.3450510215936085,-1.468263435352254,-0.9232968845587175,0.053598,0.1,0.149927,0.2,1382,724,1371,33305,37908,37903,0,0,0,0,3468,3468,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9397803118733351,-6.6983185620027035,-5.355403738772736,-1.475760258354798,-0.9277624518259648,0.053085,0.1,0.14903,0.2,1316,696,1365,33411,38090,38084,0,0,0,0,3514,3517,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9354443980182654,-6.75591130990577,-5.396215475045212,-1.4855443515784463,-0.9345876520998392,0.052582,0.1,0.148138,0.2,1407,756,1168,33506,38268,38263,0,0,0,0,3471,3465,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9349795222863293,-6.813244565473267,-5.427517977207553,-1.4983166876955114,-0.9442891493748754,0.052088,0.1,0.147251,0.2,1459,716,1287,33451,38099,38090,0,0,0,0,3515,3514,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.940423854713034,-6.837068297176769,-5.433736036524753,-1.5054722873453625,-0.9519012439987783,0.051603,0.1,0.14637,0.2,1343,622,1357,32983,37784,37774,0,0,0,0,3375,3392,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
