episode,mean_loss,lr,tau,service_level,buffer_size,n_updates,elapsed_s,mean_shift_remaining,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate
128,0.005425,0.000618,0.2961,0.9067,10000,50,3503.8,1.0,0.013622,-2.89331,24.4,0.0
129,0.006047,0.000615,0.2945,0.9094,10000,50,3531.3,1.0,0.010892,-2.90042,24.6,0.0
130,0.006588,0.000612,0.2929,0.9222,10000,50,3558.8,1.0,0.01219,-2.43919,26.1,0.0
131,0.007735,0.000609,0.2913,0.9229,10000,50,3586.1,1.0,0.009333,-2.44712,27.0,0.0
132,0.0077,0.000606,0.2897,0.9155,10000,50,3613.1,1.0,0.009802,-2.56802,26.8,0.0
133,0.006756,0.000603,0.2881,0.9246,10000,50,3640.3,1.0,0.009904,-2.4039,27.7,0.0
134,0.005113,0.0006,0.2865,0.9123,10000,50,3667.5,1.0,0.008294,-2.84361,22.2,0.0
135,0.006265,0.000597,0.2849,0.9127,10000,50,3694.5,1.0,0.007531,-2.71201,20.7,0.0
136,0.006451,0.000594,0.2833,0.9135,10000,50,3721.8,1.0,0.007888,-2.80758,24.3,0.0
137,0.007332,0.000591,0.2817,0.9253,10000,50,3749.4,1.0,0.006899,-2.40086,27.3,0.0
138,0.006137,0.000588,0.2801,0.9013,10000,50,3776.7,1.0,0.007703,-3.20637,18.0,0.0
139,0.005047,0.000585,0.2785,0.9248,10000,50,3803.9,1.0,0.006976,-2.33312,29.3,0.0
140,0.007015,0.000582,0.2769,0.9145,10000,50,3831.1,1.0,0.006927,-2.71253,25.7,0.0
141,0.006761,0.000579,0.2753,0.9171,10000,50,3858.4,1.0,0.006749,-2.62402,23.9,0.0
142,0.006741,0.000576,0.2736,0.9134,10000,50,3885.7,1.0,0.005147,-2.63442,23.6,0.0
143,0.007515,0.000573,0.272,0.9141,10000,50,3913.0,1.0,0.005585,-2.6175,25.1,0.0
144,0.006363,0.00057,0.2704,0.8997,10000,50,3940.2,1.0,0.005316,-3.13237,18.6,0.0
145,0.007414,0.000567,0.2688,0.9105,10000,50,3967.7,1.0,0.005787,-2.86404,20.7,0.0
146,0.00716,0.000564,0.2672,0.9131,10000,50,3995.0,1.0,0.005705,-2.69495,25.8,0.0
147,0.00628,0.000561,0.2656,0.9108,10000,50,4022.5,1.0,0.007196,-2.78679,27.3,0.0
148,0.006615,0.000558,0.264,0.9196,10000,50,4049.9,1.0,0.006931,-2.55908,26.6,0.0
149,0.007324,0.000555,0.2624,0.9116,10000,50,4077.2,1.0,0.007851,-2.89207,24.6,0.0
150,0.006326,0.000552,0.2608,0.9168,10000,50,4126.9,1.0,0.006817,-2.74935,23.3,0.0
151,0.008224,0.000548,0.2592,0.9086,10000,50,4154.7,1.0,0.006718,-3.00258,24.3,0.0
