episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl
114,0.751199,0.000866,0.4294,0.0005,0.9006,50000,400,29192.5,1.448657,-3.00279,0.0,0.0,3.7928,3.3,22.39,7.3,
115,0.712845,0.000864,0.4288,0.0005,0.9,50000,400,29419.6,1.592015,-3.10921,0.0,0.0,4.0603,2.5,23.34,10.9,
116,0.723614,0.000863,0.4282,0.0005,0.8987,50000,400,29646.5,1.54678,-3.06229,0.0,0.0,3.967,2.5,23.68,8.0,
117,0.828156,0.000862,0.4276,0.0005,0.8989,50000,400,29887.5,1.608489,-2.94908,0.0,0.0,3.2215,2.7,22.18,8.0,
118,0.820045,0.000861,0.4269,0.0005,0.9048,50000,400,30133.3,1.654216,-2.79851,0.0,0.0,3.4036,2.5,22.54,8.0,
119,0.70707,0.00086,0.4263,0.0005,0.9019,50000,400,30396.7,1.73305,-2.83989,0.0,0.0,4.4576,3.0,24.03,9.9,
120,0.826292,0.000859,0.4257,0.0005,0.9009,50000,400,30878.9,1.604077,-2.99087,0.0,0.0,3.2886,2.0,23.51,9.6,0.8626
121,0.807645,0.000857,0.4251,0.0005,0.8965,50000,400,31138.5,1.527346,-2.97861,0.0,0.0,3.4392,3.4,22.54,7.8,
122,0.756255,0.000856,0.4244,0.0005,0.9026,50000,400,31375.1,1.546695,-2.88316,0.0,0.0,3.8727,2.9,23.39,7.4,
123,0.735779,0.000855,0.4238,0.0005,0.8994,50000,400,31595.4,1.41537,-3.13814,0.0,0.0,4.4151,3.2,24.17,8.0,
124,0.799229,0.000854,0.4232,0.0005,0.904,50000,400,31832.0,1.470667,-2.88627,0.0,0.0,3.6805,2.0,24.63,9.7,
125,0.758944,0.000853,0.4226,0.0005,0.8898,50000,400,32047.0,1.472241,-3.29069,0.0,0.0,4.0682,3.0,21.93,7.7,
126,0.851796,0.000851,0.4219,0.0005,0.913,50000,400,32265.8,1.373098,-2.73773,0.0,0.0,3.1968,2.4,23.84,9.4,
127,0.840037,0.00085,0.4213,0.0005,0.9012,50000,400,32479.6,1.677346,-2.81642,0.0,0.0,3.4319,2.5,21.16,7.1,
128,0.744529,0.000849,0.4207,0.0005,0.9017,50000,400,32698.7,1.598186,-3.10351,0.0,0.0,4.4469,1.5,24.11,9.6,
129,0.796835,0.000848,0.4201,0.0005,0.8952,50000,400,32919.0,1.477876,-3.24093,0.0,0.0,3.7959,2.8,24.19,9.1,
130,0.800416,0.000847,0.4194,0.0005,0.8949,50000,400,33367.2,1.456313,-3.21747,0.0,0.0,3.7693,3.5,23.23,9.2,0.8622
131,0.751619,0.000845,0.4188,0.0005,0.8994,50000,400,33593.8,1.665953,-3.05749,0.0,0.0,4.6466,2.6,23.71,9.6,
132,0.790696,0.000844,0.4182,0.0005,0.9008,50000,400,33807.4,1.483958,-3.14028,0.0,0.0,3.7957,2.9,24.45,10.1,
133,0.83366,0.000843,0.4176,0.0005,0.8955,50000,400,34016.2,1.443976,-3.19425,0.0,0.0,3.5775,1.8,23.59,8.5,
134,0.766706,0.000842,0.4169,0.0005,0.8955,50000,400,34229.9,1.542403,-3.26219,0.0,0.0,4.3466,2.3,23.09,8.3,
135,0.832688,0.000841,0.4163,0.0005,0.8918,50000,400,34452.5,1.69041,-3.25399,0.0,0.0,3.5166,3.6,23.61,7.7,
136,0.746089,0.000839,0.4157,0.0005,0.897,50000,400,34668.4,1.465364,-3.0086,0.0,0.0,4.368,1.4,22.28,6.9,
137,0.746958,0.000838,0.4151,0.0005,0.895,50000,400,34894.4,1.490868,-3.24251,0.0,0.0,4.6999,2.8,21.8,6.7,
