episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,onsite_shortage_pressure,depot_shortage_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
119,0.9248966699149836,-4.308782906756926,-0.9510664522281563,-0.40896111529956974,-0.1969159057883803,-0.29032814097056703,-0.19839674672206173,-0.15332034980262446,-0.17605687302379913,0.002182,0.01,0.0,0.97,100,10,1,11
120,0.9246194084903763,-4.316659938308818,-0.9551784610605032,-0.41067956654779736,-0.19776803286440967,-0.29151706719204323,-0.19920125690341928,-0.15399882545284274,-0.1767013913501351,0.002168,0.01,0.0,0.97,100,10,1,11
121,0.9235876469793215,-4.324513281291892,-0.9593075263090755,-0.4124421096533772,-0.19859865066740784,-0.2926763537796839,-0.19997162289665507,-0.15456207228313104,-0.1775007355163622,0.002154,0.01,0.0,0.97,100,10,1,11
122,0.9257187961843343,-4.3225812735134514,-0.9580108893712367,-0.41300073783516444,-0.1979795030679522,-0.293680686960918,-0.2006530750092373,-0.154806782510042,-0.1778915763285398,0.00214,0.01,0.0,0.97,100,11,1,12
123,0.9318709979435909,-4.329437551667282,-0.9615867333079331,-0.4144789561723743,-0.1987449724627736,-0.2946929228670094,-0.2014077071257479,-0.15535814200289225,-0.17840479498364034,0.002127,0.01,0.0,0.97,100,10,1,11
124,0.9242383527593967,-4.33714182000303,-0.9656887823296623,-0.4161703229010277,-0.19960960145749176,-0.2958380603654742,-0.2022033152593962,-0.155979983199531,-0.17914479812416462,0.002113,0.01,0.0,0.97,100,10,1,11
125,0.9280367471929227,-4.344199210052753,-0.9693114302391618,-0.4176483524819738,-0.2003634739728032,-0.29685182317485515,-0.20283540249455248,-0.1565626615934426,-0.17973071300150967,0.0021,0.01,0.0,0.97,100,10,1,11
126,0.9223566986048075,-4.344942590469319,-0.9695701830982796,-0.4184082894605132,-0.20037721486801657,-0.2977413652404607,-0.20355434310643547,-0.15686911030395803,-0.17989859754339746,0.002087,0.01,0.0,0.97,100,11,1,12
127,0.9291100801349641,-4.351894201808532,-0.9731413836078999,-0.41985460801640107,-0.20112488860199848,-0.29870100940540134,-0.20428746675745277,-0.15748873149861653,-0.1803790718628696,0.002074,0.01,0.0,0.97,100,10,1,11
128,0.92906877723789,-4.358881389859051,-0.9767727342638614,-0.4213563834212956,-0.20190485976549968,-0.2997271013519871,-0.20501328398185162,-0.15797968559282757,-0.1809835140762423,0.002061,0.01,0.0,0.97,100,10,1,11
129,0.9265373365161551,-4.366058072751482,-0.9805451875187998,-0.42294223857744884,-0.2026930927154253,-0.3007934123074429,-0.20577339801978795,-0.15857206865311788,-0.18175331322712163,0.002048,0.01,0.0,0.97,100,10,1,11
