episode,service_level,rebalancing_imbalance,starvation_severity_max,congestion_severity_max,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
34,0.9445926103503042,-1.525115646382809,-1.5818615464693375,-0.7723128753556481,0.061988,0.1,0.163073,0.2,1196,653,1323,33371,38349,38332,0,0,0,0,3595,3580,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9414176222446676,-1.5498793625931844,-1.6192392861890033,-0.808905805597162,0.061302,0.1,0.162097,0.2,1258,714,1403,33662,38706,38702,0,0,0,0,3552,3571,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9445682283511984,-1.4945537446565824,-1.5289244773887718,-0.7260649417425624,0.060632,0.1,0.161127,0.2,1152,689,1351,33212,38111,38108,0,0,0,0,3557,3549,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9366294428434198,-1.567894839515873,-1.6605922172103407,-0.8528752482228387,0.059976,0.1,0.160162,0.2,1275,836,1242,33312,38035,38030,0,0,0,0,3597,3598,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9414854377526631,-1.5942023553913527,-1.7117370432699173,-0.9039961196808018,0.059334,0.1,0.159204,0.2,1186,797,1407,33889,38884,38878,0,0,0,0,3543,3546,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9394419398074814,-1.5505669314858028,-1.6580538975872008,-0.8230089800132797,0.058706,0.1,0.158251,0.2,1165,823,1150,32828,37743,37736,0,0,0,0,3438,3423,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9383963691376702,-1.5609011305796732,-1.6453618150514568,-0.8515032648125753,0.058091,0.1,0.157304,0.2,1337,699,1411,33050,37940,37933,0,0,0,0,3484,3482,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.940241576605213,-1.5718673152791716,-1.650021264300432,-0.8393760583679278,0.057488,0.1,0.156362,0.2,1308,666,1426,33033,37835,37832,0,0,0,0,3639,3651,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9397090018224732,-1.563802182146477,-1.6474699373254418,-0.8281956931085824,0.056899,0.1,0.155426,0.2,1385,633,1312,33471,38122,38108,0,0,0,0,3464,3460,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9368277533707015,-1.5973256136912277,-1.6987837288158738,-0.8674432558217389,0.056321,0.1,0.154496,0.2,1395,690,1393,33005,37893,37889,0,0,0,0,3675,3690,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9365026795929428,-1.5978846606461152,-1.7169674921589846,-0.8462708662796626,0.055754,0.1,0.153571,0.2,1481,628,1416,33214,37870,37864,0,0,0,0,3581,3580,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9359708795799021,-1.5862986199152758,-1.6708587376498376,-0.8187720747775706,0.055199,0.1,0.152652,0.2,1245,901,1180,33516,38239,38234,0,0,0,0,3554,3545,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9440435348397018,-1.5695885724855516,-1.6161499756767181,-0.7451602842030296,0.054655,0.1,0.151738,0.2,1184,708,1358,33812,38723,38713,0,0,0,0,3555,3550,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9361733709366187,-1.6454952509355838,-1.713578840943322,-0.8568283732552155,0.054121,0.1,0.15083,0.2,1380,770,1366,33685,38394,38388,0,0,0,0,3549,3557,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9441420540733471,-1.5808008727040324,-1.5582946380527836,-0.7089083858389365,0.053598,0.1,0.149927,0.2,1158,720,1431,33621,38448,38446,0,0,0,0,3494,3498,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9344046443426999,-1.7046297779968484,-1.732350755266329,-0.9031776393451498,0.053085,0.1,0.14903,0.2,1366,826,1457,33417,38046,38041,0,0,0,0,3642,3631,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.9392344497607655,-1.702254775922399,-1.7219995367742105,-0.895275208964255,0.052582,0.1,0.148138,0.2,1166,866,1601,33440,38443,38441,0,0,0,0,3509,3502,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9392824287028518,-1.6503934552830146,-1.6395988499183107,-0.7920647159604387,0.052088,0.1,0.147251,0.2,1360,686,1128,33697,38444,38438,0,0,0,0,3486,3500,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9333731165149933,-1.7623619978121827,-1.8546016062542448,-0.9753818530112872,0.051603,0.1,0.14637,0.2,1453,780,1402,33515,38206,38197,0,0,0,0,3689,3686,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.935105876754699,-1.7063291043955549,-1.729376827399677,-0.8676941402029966,0.051127,0.1,0.145494,0.2,1485,697,1391,33624,38309,38300,0,0,0,0,3609,3589,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.939154695476671,-1.7886017097665725,-1.8731418789785612,-0.9780818655381146,0.05066,0.1,0.144623,0.2,1356,694,1444,33692,38474,38467,0,0,0,0,3666,3673,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9380855276768035,-1.7503416795165445,-1.7865710578921181,-0.9022755023079119,0.050201,0.1,0.143757,0.2,1275,820,1460,33837,38592,38585,0,0,0,0,3584,3578,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.94578567128236,-1.6918039348655824,-1.6722615979387263,-0.7790714819684438,0.049751,0.1,0.142897,0.2,1197,604,1257,33220,38374,38371,0,0,0,0,3733,3735,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9352299159062444,-1.795877256521628,-1.841736591542084,-0.9477944918441461,0.049308,0.1,0.142042,0.2,1407,765,1483,33534,38321,38311,0,0,0,0,3610,3621,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9382682736703244,-1.8123060699051798,-1.837420415310264,-0.952588668058343,0.048874,0.1,0.141191,0.2,1331,728,1186,33354,38106,38099,0,0,0,0,3536,3539,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9371107397842928,-1.7795333635557706,-1.756127312273061,-0.8520732929158938,0.048447,0.1,0.140346,0.2,1261,809,1478,32915,37743,37738,0,0,0,0,3515,3524,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.938033739849579,-1.8048724560816078,-1.7584074964816614,-0.8599424358101002,0.048027,0.1,0.139506,0.2,1435,633,1359,33373,38166,38158,0,0,0,0,3530,3524,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9369644498473033,-1.8545493485745452,-1.8094556537443842,-0.9178231611760159,0.047615,0.1,0.138671,0.2,1401,725,1322,33727,38258,38254,0,0,0,0,3678,3673,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9430766492643569,-1.8142272174746383,-1.7078143142870055,-0.811878366102589,0.047209,0.1,0.137841,0.2,1235,684,1677,33712,38599,38588,0,0,0,0,3598,3598,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9412525568523643,-1.784706766216554,-1.6821145418103254,-0.7483154478761759,0.046811,0.1,0.137016,0.2,1324,629,1554,33244,38093,38090,0,0,0,0,3703,3701,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9450964970657632,-1.7999737225814194,-1.7053274863617627,-0.7834072364000592,0.046419,0.1,0.136196,0.2,1120,695,1181,33058,37914,37909,0,0,0,0,3621,3633,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9438051913299438,-1.8134099823423557,-1.6842966321052204,-0.7759458096528671,0.046033,0.1,0.135381,0.2,1224,666,1306,33633,38452,38439,0,0,0,0,3546,3546,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
66,0.9454876937101185,-1.8052543436568294,-1.6850578751898713,-0.7467489223816863,0.045654,0.1,0.134571,0.2,1125,669,1393,32910,37811,37804,0,0,0,0,3652,3647,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
67,0.9374445167781262,-1.848237064727123,-1.7491283428229507,-0.8346948671020539,0.045281,0.1,0.133765,0.2,1384,730,1350,33794,38664,38661,0,0,0,0,3613,3633,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
68,0.9372571462995873,-1.891010214983802,-1.7711765430018027,-0.8783945613151859,0.044914,0.1,0.132964,0.2,1315,768,1474,33199,37931,37925,0,0,0,0,3600,3609,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
69,0.9457035220953178,-1.872195881395373,-1.6994427576696585,-0.8275112897664854,0.044554,0.1,0.132169,0.2,1255,561,1176,33446,38207,38202,0,0,0,0,3519,3505,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
70,0.9417220128044037,-1.8772794053965385,-1.6986212187558123,-0.8221969398999572,0.044198,0.1,0.131377,0.2,1319,629,1262,33426,38088,38084,0,0,0,0,3677,3685,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
71,0.9414981671987702,-1.8328002697604704,-1.6431471072982233,-0.7673715012106086,0.043849,0.1,0.130591,0.2,1199,780,1226,33828,38719,38711,0,0,0,0,3651,3645,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
72,0.9457024445912667,-1.832308215734955,-1.659109573301374,-0.7597413329940018,0.043505,0.1,0.129809,0.2,1229,579,1157,33298,38265,38257,0,0,0,0,3653,3638,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
73,0.9443590902244314,-1.8087679069965719,-1.6455221012762888,-0.7208316077208772,0.043166,0.1,0.129032,0.2,1159,688,1417,33195,38220,38214,0,0,0,0,3548,3554,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
74,0.9379803073967339,-1.8681329842852883,-1.7260841227911112,-0.8002333180489646,0.042833,0.1,0.12826,0.2,1323,743,1261,33312,38129,38123,0,0,0,0,3638,3623,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
75,0.9452297882579404,-1.8332020180222135,-1.664509601128242,-0.729139370276378,0.042504,0.1,0.127492,0.2,1268,553,1377,33248,38169,38161,0,0,0,0,3527,3518,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
76,0.9418106015485408,-1.8335839358377775,-1.6833416634169944,-0.7531477097224871,0.042181,0.1,0.126729,0.2,1397,557,1401,33580,38297,38289,0,0,0,0,3616,3616,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
77,0.9384601563201869,-1.89541590541404,-1.8036827725806455,-0.8551549976217213,0.041862,0.1,0.125971,0.2,1384,671,1445,33393,38346,38340,0,0,0,0,3617,3637,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9436361450129261,-1.903614665204695,-1.8246477065512579,-0.8710290113540023,0.041549,0.1,0.125217,0.2,1215,660,1328,33266,38409,38405,0,0,0,0,3571,3569,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9412967641044148,-1.891398213549954,-1.7894143369270017,-0.8376861708712731,0.04124,0.1,0.124467,0.2,1120,832,1369,33252,38220,38214,0,0,0,0,3698,3683,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9448908270856358,-1.8475608088053663,-1.7122099802814321,-0.783412111171238,0.040935,0.1,0.123722,0.2,1354,491,1214,33479,38177,38173,0,0,0,0,3498,3488,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.9436653553947328,-1.8847556151941944,-1.7542901637313313,-0.8226988091908572,0.040635,0.1,0.122982,0.2,1148,728,1320,33301,38306,38295,0,0,0,0,3613,3600,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.9444361374443015,-1.8576523612732116,-1.7100727430922527,-0.7515640303764258,0.04034,0.1,0.122246,0.2,1203,655,1322,33439,38513,38510,0,0,0,0,3586,3583,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9376556358945126,-1.933241192366939,-1.8157091244600716,-0.8707433234597644,0.040048,0.1,0.121514,0.2,1384,694,1507,33331,38207,38197,0,0,0,0,3713,3711,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.946955692050808,-1.9196268202012836,-1.7888666600713594,-0.8417621604760785,0.039761,0.1,0.120787,0.2,1125,654,1315,33538,38638,38634,0,0,0,0,3535,3535,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9476522464545346,-1.8998268123243742,-1.7421239959571224,-0.7994505879043844,0.039478,0.1,0.120064,0.2,1209,548,1192,33564,38431,38425,0,0,0,0,3563,3562,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.937019647716738,-1.8966050773441057,-1.7290588589440914,-0.773414419216579,0.039199,0.1,0.119345,0.2,1418,688,1457,33439,38042,38038,0,0,0,0,3534,3528,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
87,0.9428220196689854,-1.9008497114880971,-1.7072393988807386,-0.7695285725439558,0.038924,0.1,0.118631,0.2,1236,671,1202,33352,38269,38262,0,0,0,0,3543,3558,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
88,0.9389817449027975,-1.9754648727634236,-1.8081396912120842,-0.888244712146188,0.038652,0.1,0.117921,0.2,1341,718,1267,33744,38238,38232,0,0,0,0,3650,3634,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
89,0.9393930377863731,-1.971139139860388,-1.8192572368155653,-0.9073360600621457,0.038385,0.1,0.117215,0.2,1223,814,1266,33610,38466,38457,0,0,0,0,3582,3594,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
90,0.9413679808841099,-1.9975431447935643,-1.8238387018441236,-0.9399639513735326,0.038121,0.1,0.116513,0.2,1294,669,1425,33480,38289,38284,0,0,0,0,3665,3678,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
91,0.9435219901208117,-2.0322461316470064,-1.8301821486962584,-0.97471989425549,0.03786,0.1,0.115816,0.2,1288,610,1096,33606,38240,38227,0,0,0,0,3613,3633,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
92,0.9413974910611478,-2.0278689076353333,-1.81678212741904,-0.9643097777852863,0.037604,0.1,0.115123,0.2,1235,699,1368,33002,37901,37893,0,0,0,0,3582,3573,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
