Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
4,0,12,720,S22,7,7,0,0.5646,24
4,0,12,720,S23,12,11,1,0.5752,15
4,0,12,720,S24,10,9,1,0.4599,24
4,0,12,720,S25,9,8,1,0.5282,24
4,0,12,720,S26,5,5,0,0.458,32
4,0,12,720,S27,5,5,0,0.5316,26
4,0,12,720,S28,18,18,0,0.5063,30
4,0,12,720,S29,4,4,0,0.5538,30
4,0,12,720,S30,13,13,0,0.475,15
4,0,12,720,S31,23,22,1,0.4126,43
4,0,12,720,S32,9,9,0,0.5196,24
4,0,12,720,S33,14,12,2,0.5556,27
4,0,12,720,S34,11,11,0,0.3394,25
4,0,12,720,S35,22,22,0,0.3975,24
4,0,12,720,S36,9,9,0,0.3763,21
4,0,12,720,S37,22,22,0,0.4818,37
4,0,12,720,S38,13,13,0,0.4798,19
4,0,12,720,S39,24,23,1,0.511,36
4,0,12,720,S40,11,11,0,0.4328,21
4,0,12,720,S41,14,14,0,0.4248,30
4,0,12,720,S42,1,0,1,0.9513,21
4,0,12,720,S43,10,10,0,0.3809,31
4,0,12,720,S44,15,15,0,0.3939,20
4,0,12,720,S45,8,8,0,0.4948,13
4,0,12,720,S46,8,8,0,0.4616,25
4,0,12,720,S47,12,11,1,0.52,24
4,0,12,720,S48,11,11,0,0.4778,17
4,0,12,720,S49,14,14,0,0.4754,21
4,0,12,720,S50,8,7,1,0.5376,30
4,0,12,720,S51,8,7,1,0.4524,22
4,0,12,720,S52,9,8,1,0.4285,19
4,0,12,720,S53,14,14,0,0.4197,31
4,0,12,720,S54,6,6,0,0.4135,24
4,0,12,720,S55,11,11,0,0.4511,31
4,0,12,720,S56,4,4,0,0.5596,12
4,0,12,720,S57,14,14,0,0.3777,25
4,0,12,720,S58,18,18,0,0.504,30
4,0,12,720,S59,27,27,0,0.4981,37
4,0,12,720,S60,11,11,0,0.4378,31
4,0,12,720,S61,11,11,0,0.3853,16
4,0,12,720,S62,4,4,0,0.4412,26
4,0,12,720,S63,14,14,0,0.4367,28
4,0,12,720,S64,12,12,0,0.4374,13
4,0,12,720,S65,7,7,0,0.4724,25
4,0,12,720,S66,8,6,2,0.5626,24
4,0,13,780,S0,2,2,0,0.3655,21
4,0,13,780,S1,9,9,0,0.4557,15
4,0,13,780,S2,9,9,0,0.4666,24
4,0,13,780,S3,6,6,0,0.4722,18
4,0,13,780,S4,12,12,0,0.4239,18
4,0,13,780,S5,14,14,0,0.4679,24
4,0,13,780,S6,13,13,0,0.4501,21
4,0,13,780,S7,18,18,0,0.4843,26
4,0,13,780,S8,7,7,0,0.4224,22
4,0,13,780,S9,9,9,0,0.469,12
4,0,13,780,S10,9,9,0,0.2539,18
4,0,13,780,S11,4,4,0,0.6398,17
4,0,13,780,S12,14,14,0,0.5141,24
4,0,13,780,S13,11,11,0,0.4136,29
4,0,13,780,S14,10,10,0,0.3418,13
4,0,13,780,S15,1,0,1,0.9086,27
4,0,13,780,S16,15,15,0,0.465,15
4,0,13,780,S17,4,3,1,0.5648,25
4,0,13,780,S18,19,19,0,0.3765,24
4,0,13,780,S19,13,13,0,0.4237,13
4,0,13,780,S20,1,0,1,0.9389,18
4,0,13,780,S21,0,0,0,0.0,12
4,0,13,780,S22,8,8,0,0.4652,24
4,0,13,780,S23,15,14,1,0.6037,15
4,0,13,780,S24,7,6,1,0.5397,24
4,0,13,780,S25,11,10,1,0.4947,24
4,0,13,780,S26,1,1,0,0.5514,32
4,0,13,780,S27,2,2,0,0.3786,26
4,0,13,780,S28,17,17,0,0.5158,30
4,0,13,780,S29,7,7,0,0.4563,30
4,0,13,780,S30,15,15,0,0.4706,15
4,0,13,780,S31,23,22,1,0.4388,43
4,0,13,780,S32,14,14,0,0.5147,24
4,0,13,780,S33,10,8,2,0.6187,27
4,0,13,780,S34,8,8,0,0.3645,25
4,0,13,780,S35,9,9,0,0.4353,24
4,0,13,780,S36,10,10,0,0.3909,21
4,0,13,780,S37,17,17,0,0.4802,37
4,0,13,780,S38,16,16,0,0.4561,19
4,0,13,780,S39,22,21,1,0.5232,36
4,0,13,780,S40,10,10,0,0.4132,21
4,0,13,780,S41,13,13,0,0.4319,30
4,0,13,780,S42,13,12,1,0.4639,21
4,0,13,780,S43,14,14,0,0.3983,31
4,0,13,780,S44,12,12,0,0.4132,20
4,0,13,780,S45,3,3,0,0.3707,13
4,0,13,780,S46,7,7,0,0.4177,25
4,0,13,780,S47,19,18,1,0.4742,24
4,0,13,780,S48,13,13,0,0.4863,17
4,0,13,780,S49,14,14,0,0.4554,21
4,0,13,780,S50,12,12,0,0.3594,30
4,0,13,780,S51,17,16,1,0.4294,22
4,0,13,780,S52,13,12,1,0.4728,19
4,0,13,780,S53,12,12,0,0.3852,31
4,0,13,780,S54,1,1,0,0.6141,24
4,0,13,780,S55,11,11,0,0.5032,31
4,0,13,780,S56,2,2,0,0.5403,12
4,0,13,780,S57,19,19,0,0.4166,25
4,0,13,780,S58,17,17,0,0.5255,30
4,0,13,780,S59,28,28,0,0.4874,37
4,0,13,780,S60,9,9,0,0.4267,31
4,0,13,780,S61,16,16,0,0.43,16
4,0,13,780,S62,2,2,0,0.6026,26
4,0,13,780,S63,12,12,0,0.4818,28
4,0,13,780,S64,10,10,0,0.4105,13
4,0,13,780,S65,9,9,0,0.339,25
4,0,13,780,S66,11,9,2,0.5756,24
4,0,14,840,S0,2,2,0,0.3655,21
4,0,14,840,S1,10,10,0,0.4414,15
4,0,14,840,S2,9,9,0,0.4666,24
4,0,14,840,S3,6,6,0,0.4722,18
4,0,14,840,S4,8,8,0,0.415,18
4,0,14,840,S5,14,14,0,0.4679,24
4,0,14,840,S6,13,13,0,0.4501,21
4,0,14,840,S7,19,19,0,0.4743,26
4,0,14,840,S8,6,6,0,0.4534,22
4,0,14,840,S9,11,11,0,0.4824,12
4,0,14,840,S10,0,0,0,0.0,18
4,0,14,840,S11,3,3,0,0.6167,17
4,0,14,840,S12,18,18,0,0.4738,24
4,0,14,840,S13,10,10,0,0.4748,29
4,0,14,840,S14,11,11,0,0.375,13
4,0,14,840,S15,1,0,1,0.9086,27
4,0,14,840,S16,12,12,0,0.4924,15
4,0,14,840,S17,3,2,1,0.713,25
4,0,14,840,S18,14,14,0,0.3923,24
4,0,14,840,S19,13,13,0,0.4237,13
4,0,14,840,S20,4,2,2,0.8276,18
4,0,14,840,S21,0,0,0,0.0,12
4,0,14,840,S22,7,7,0,0.44,24
4,0,14,840,S23,13,12,1,0.6042,15
4,0,14,840,S24,7,6,1,0.5397,24
4,0,14,840,S25,9,8,1,0.5061,24
4,0,14,840,S26,0,0,0,0.0,32
4,0,14,840,S27,1,1,0,0.35,26
4,0,14,840,S28,18,18,0,0.5212,30
4,0,14,840,S29,0,0,0,0.0,30
4,0,14,840,S30,15,15,0,0.4706,15
4,0,14,840,S31,29,28,1,0.4489,43
4,0,14,840,S32,15,15,0,0.4949,24
4,0,14,840,S33,8,6,2,0.4807,27
4,0,14,840,S34,5,5,0,0.3694,25
4,0,14,840,S35,11,11,0,0.392,24
4,0,14,840,S36,11,11,0,0.3937,21
4,0,14,840,S37,25,25,0,0.4753,37
4,0,14,840,S38,13,13,0,0.4417,19
4,0,14,840,S39,17,16,1,0.518,36
4,0,14,840,S40,10,10,0,0.3934,21
4,0,14,840,S41,19,19,0,0.4194,30
4,0,14,840,S42,9,8,1,0.441,21
4,0,14,840,S43,13,13,0,0.4037,31
4,0,14,840,S44,9,9,0,0.4912,20
4,0,14,840,S45,0,0,0,0.0,13
4,0,14,840,S46,9,9,0,0.4224,25
4,0,14,840,S47,22,21,1,0.4716,24
4,0,14,840,S48,17,17,0,0.4167,17
4,0,14,840,S49,17,17,0,0.4475,21
4,0,14,840,S50,6,6,0,0.3667,30
4,0,14,840,S51,20,19,1,0.4322,22
4,0,14,840,S52,7,6,1,0.5387,19
4,0,14,840,S53,6,6,0,0.3878,31
4,0,14,840,S54,2,2,0,0.4197,24
4,0,14,840,S55,11,11,0,0.5789,31
4,0,14,840,S56,0,0,0,0.0,12
4,0,14,840,S57,13,13,0,0.3471,25
4,0,14,840,S58,12,12,0,0.4951,30
4,0,14,840,S59,26,26,0,0.4897,37
4,0,14,840,S60,11,11,0,0.3715,31
4,0,14,840,S61,15,15,0,0.4518,16
4,0,14,840,S62,9,9,0,0.3881,26
4,0,14,840,S63,16,15,1,0.4336,28
4,0,14,840,S64,7,7,0,0.4632,13
4,0,14,840,S65,17,17,0,0.3421,25
4,0,14,840,S66,21,19,2,0.5856,24
4,0,15,900,S0,1,1,0,0.4548,21
4,0,15,900,S1,5,5,0,0.416,15
4,0,15,900,S2,8,8,0,0.4045,24
4,0,15,900,S3,7,7,0,0.4702,18
4,0,15,900,S4,7,7,0,0.4596,18
4,0,15,900,S5,14,14,0,0.4679,24
4,0,15,900,S6,16,16,0,0.4562,21
4,0,15,900,S7,24,24,0,0.4504,26
4,0,15,900,S8,7,7,0,0.4645,22
4,0,15,900,S9,11,11,0,0.4606,12
4,0,15,900,S10,0,0,0,0.0,18
4,0,15,900,S11,3,3,0,0.6139,17
4,0,15,900,S12,24,24,0,0.5058,24
4,0,15,900,S13,16,15,1,0.4871,29
4,0,15,900,S14,0,0,0,0.0,13
4,0,15,900,S15,5,4,1,0.596,27
4,0,15,900,S16,15,15,0,0.4621,15
4,0,15,900,S17,1,0,1,0.9674,25
4,0,15,900,S18,12,12,0,0.4135,24
4,0,15,900,S19,10,10,0,0.4498,13
4,0,15,900,S20,8,6,2,0.6113,18
4,0,15,900,S21,0,0,0,0.0,12
4,0,15,900,S22,13,13,0,0.3814,24
4,0,15,900,S23,14,13,1,0.5911,15
4,0,15,900,S24,7,6,1,0.5397,24
4,0,15,900,S25,10,9,1,0.5385,24
4,0,15,900,S26,0,0,0,0.0,32
4,0,15,900,S27,2,2,0,0.2608,26
4,0,15,900,S28,19,19,0,0.5088,30
4,0,15,900,S29,0,0,0,0.0,30
4,0,15,900,S30,15,15,0,0.4655,15
4,0,15,900,S31,38,37,1,0.455,43
4,0,15,900,S32,15,15,0,0.4701,24
4,0,15,900,S33,4,2,2,0.6656,27
4,0,15,900,S34,0,0,0,0.0,25
4,0,15,900,S35,0,0,0,0.0,24
4,0,15,900,S36,14,14,0,0.419,21
4,0,15,900,S37,32,31,1,0.4852,37
4,0,15,900,S38,16,16,0,0.4527,19
