episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,unmet_starvation_deficit,starvation_variance,imbalance_hotspot_distance,starvation_count,congestion_count,imbalance_asymmetry,hotspot_imbalance_mass,hours_until_peak_fraction,multi_horizon_starvation_risk,multi_horizon_congestion_risk,future_net_pressure
78,0.9436963756831852,-96.58878253163635,-39.49350459460089,-15.966716105585268,-30.74713433458633,-10.585884254705423,-71.17805236121782,-47.38370705840118,-74.16695642712766,-22.520555582139608,-2.3808140021600064,0.0,0.0,-22.316388252253997,-35.02920072481293,-31.418782073387906,-54.969282263540386,-41.61950026809564,-22.31638825225399
79,0.9414582705634227,-96.71951232776459,-39.50690518278019,-15.969060147063052,-30.737793990130097,-10.576189328985562,-70.93722534168637,-47.25091846401989,-74.33273322482519,-22.52805924891447,-2.3353724011617354,-0.012806365857024595,-0.010857923948107775,-22.296580283166684,-35.123243239176006,-31.48919231381064,-55.028165527920464,-41.69134679984393,-22.296580283166676
80,0.9439059414826781,-96.80059100517413,-39.49314877698062,-15.9550852478703,-30.701814896871074,-10.548206384301317,-70.56746567621585,-46.8850298756872,-74.47792101355985,-22.51751832111606,-2.3682051386945018,-0.000357009017281637,0.0,-22.26743301471254,-35.179897357763494,-31.556619086563234,-55.063867865537766,-41.73672313963611,-22.267433014712534
81,0.9365691890262285,-97.04262847343391,-39.534736650925346,-16.007902848097068,-30.713604505721364,-10.58351981329346,-70.5034526803921,-47.03000444570876,-74.6867562043056,-22.539719586190245,-2.554332100256676,0.0,-0.006143276733375249,-22.214170350785135,-35.29599822815916,-31.81188210864661,-55.17556998204147,-41.86705849139229,-22.21417035078513
82,0.9348138823952526,-97.29288727006,-39.57951714691804,-16.075825023483954,-30.73108941866122,-10.63296771060998,-70.40808884789823,-47.11077584675205,-74.9042565091559,-22.562637198710167,-2.735838324076289,0.0,-0.0018439239277564892,-22.202525866595938,-35.40850972883699,-31.87751274476657,-55.29952258710674,-41.99336468295331,-22.20252586659593
83,0.9446472202950137,-97.44746035432605,-39.570595399781844,-16.088958059610025,-30.698392987624622,-10.630363439873767,-70.23596420683366,-47.100617825123166,-75.06700007932007,-22.558535648190563,-2.790865970592403,0.0,0.0,-22.203462471881718,-35.54729830726937,-32.187398492792155,-55.36995695827263,-42.07750339605348,-22.20346247188171
84,0.9433478751639769,-97.54141062305385,-39.57526934926897,-16.1108711824254,-30.685341013535897,-10.640791403403753,-69.87249755425046,-46.9225189247101,-75.19115934187172,-22.55606026942381,-2.5666283632037623,-0.0007586705137613814,-0.011484558283063225,-22.12805045423569,-35.58432171183623,-31.73917304339641,-55.405644260763175,-42.135766362290845,-22.128050454235684
85,0.9396567244793854,-97.63795569187839,-39.579745658036444,-16.109838701336606,-30.668846139628275,-10.62992555915455,-69.6371640565163,-46.69643724204874,-75.32046722113743,-22.557936759083077,-2.4351440402686704,0.0,0.0,-22.13048388941513,-35.65570655963101,-31.634316021799286,-55.45253176667311,-42.18542392520539,-22.130483889415125
86,0.9416220210604102,-97.95865924590693,-39.68386864163879,-16.1920404298544,-30.74391620644088,-10.692873667964326,-69.78085348504149,-46.907770978484024,-75.57820488589672,-22.616353026037423,-2.453076857698007,-0.00033272314848811286,-0.012751690723418049,-22.199231524471447,-35.78306977757469,-31.6594702520511,-55.6302060151456,-42.32845323076169,-22.19923152447144
87,0.9477059546285475,-98.0842822386353,-39.704053392223685,-16.20839524047123,-30.74608606467827,-10.69609944918137,-69.6002871091455,-46.74698892328289,-75.7215944806393,-22.626308425284716,-2.5014653089599506,-0.017296248428294476,-0.009124594376863956,-22.174663371503,-35.8463103366768,-31.42131033480058,-55.689938712327844,-42.39434352630759,-22.174663371502994
88,0.9439622584449754,-97.8638392916458,-39.58777813564368,-16.121834301100343,-30.627628013468943,-10.608694156107575,-68.70216030610625,-45.99422934040587,-75.6683692673805,-22.55514395898544,-2.400741572228941,0.0,0.0,-22.040514817003768,-35.76562589146098,-30.739119117248404,-55.55223288677153,-42.31160640487427,-22.04051481700376
89,0.942983118412708,-98.05284183063972,-39.61928547986487,-16.158392653075225,-30.636391095449348,-10.629440161342732,-68.67015424616316,-46.03055997140122,-75.84427652463044,-22.573678143438478,-2.420280875139545,0.0,0.0,-22.03878624223457,-35.871603111858015,-30.84549640061141,-55.64714350064962,-42.405698329990074,-22.03878624223456
90,0.9458657543370977,-98.32834365290363,-39.69795068834761,-16.21292808088346,-30.68547808409367,-10.667482060477935,-68.80967707820867,-46.19470860186923,-76.06630657560356,-22.619658463258954,-2.349614738306563,-0.0026714540864203333,-0.01637202971634486,-22.078862247151687,-36.00256241956528,-31.138070162970678,-55.79484999817302,-42.53349365473069,-22.07886224715168
91,0.9366351056081573,-98.28434340987877,-39.66326333954014,-16.189393595426342,-30.641642433949613,-10.637848546950414,-68.34277447597064,-45.76377190808499,-76.10076223633705,-22.598872708516186,-2.3100879786938284,0.0,0.0,-22.0054596058654,-35.98951083689991,-30.4681823731607,-55.75712696464429,-42.52721644523462,-22.005459605865394
92,0.9406820365033621,-98.6010464049405,-39.757864576207176,-16.26197607397354,-30.706969263208737,-10.691393460491083,-68.59545005165401,-46.08159137326841,-76.34073946363623,-22.65431023385407,-2.47348572441231,0.0,0.0,-22.084272993650412,-36.14259276841876,-30.856159605812994,-55.93245520039664,-42.668591204544285,-22.084272993650405
93,0.9412205278768088,-98.80396728617691,-39.80372618562132,-16.306457227357512,-30.73213441751308,-10.71647390696832,-68.66223508775109,-46.195718200349354,-76.51808553809096,-22.684159367419245,-2.4826688841389024,-0.006565352114304436,-0.0033550547360681237,-22.107597602907884,-36.246098328847204,-30.905262434265598,-56.0384625434067,-42.7655047427705,-22.107597602907877
94,0.9371342383107089,-98.88808260159841,-39.82656049072471,-16.313870460405777,-30.73941005257659,-10.714420399714438,-68.46073815096595,-45.98007886348387,-76.63535509909664,-22.695677682018093,-2.4124046966760355,-0.0017330264293961945,-0.0033040407058352096,-22.085481327915396,-36.276372077538866,-30.744104814847923,-56.07899377670135,-42.80908882489736,-22.08548132791539
95,0.9388354460727022,-99.18835640645402,-39.91485377671726,-16.381545718879583,-30.799713813764296,-10.765257890547,-68.71393060150542,-46.23783232311707,-76.86740289186412,-22.74966402587784,-2.480601450015273,0.0,0.0,-22.138503519797442,-36.419082944864165,-31.311746510270297,-56.240505843196296,-42.94785056325794,-22.138503519797435
96,0.9391985537812594,-99.47418214345292,-40.00465401971559,-16.452805891272423,-30.865288233648897,-10.818154549399965,-68.89619018367138,-46.4959884080169,-77.07713054660479,-22.802943352494438,-2.510288041988767,-0.0049874508342965,-0.005613412082394959,-22.17507865327585,-36.54630179548551,-31.141421681598864,-56.392061853770684,-43.08212028968257,-22.175078653275843
97,0.9449799437226846,-99.64716214859071,-40.053358717031855,-16.495891628521306,-30.896403554990982,-10.84622043326086,-68.85069822761966,-46.4640320049167,-77.23321297306269,-22.83054749834737,-2.466507401879361,-0.00028093205802070685,0.0,-22.16084266559884,-36.612484151828745,-31.151778989359595,-56.47860298098632,-43.16855916760481,-22.16084266559883
98,0.9335475346826017,-99.69448500160838,-40.0481594853119,-16.48852722437345,-30.878947285102353,-10.831453797255804,-68.62106858864166,-46.315635733561635,-77.31261855052034,-22.828865049397873,-2.3884955026804198,0.0,-0.0010608531190820047,-22.14668720901995,-36.66854747699001,-30.984381231677272,-56.49771099098879,-43.196774010619905,-22.146687209019944
99,0.9427509516530288,-99.75788297049941,-40.05065826331078,-16.487177187429506,-30.86847384544821,-10.82184799232556,-68.40515903156606,-46.11625245061781,-77.40020717428237,-22.832233470581762,-2.393922386679529,0.0,-0.0033627253489800007,-22.12018389065558,-36.71212909892242,-30.789018179852906,-56.52374826520593,-43.234134705293805,-22.12018389065557
