episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
40,0.9383651944627555,-4.6387289321979415,0.058091,0.1,0.157304,0.2,1468,589,1514,33374,38133,38126,0,0,0,0,3974,3977,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9354364710468708,-4.703432267830915,0.057488,0.1,0.156362,0.2,1346,807,1373,33347,38111,38103,0,0,0,0,4047,4062,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9364493766921543,-4.787720442450635,0.056899,0.1,0.155426,0.2,1336,800,1425,33611,38311,38303,0,0,0,0,3964,3954,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.934804352438396,-4.7622071610391865,0.056321,0.1,0.154496,0.2,1330,821,1666,32993,37946,37942,0,0,0,0,4010,4018,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9416464155528554,-4.658391101547619,0.055754,0.1,0.153571,0.2,1264,657,1411,32920,37793,37786,0,0,0,0,3968,3975,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9342689216744633,-4.58464458028592,0.055199,0.1,0.152652,0.2,1362,830,1345,33348,37954,37944,0,0,0,0,4021,4024,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9379360115467885,-4.519363622796246,0.054655,0.1,0.151738,0.2,1321,743,1208,33256,38030,38028,0,0,0,0,4019,4023,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9347703452985363,-4.435300957964959,0.054121,0.1,0.15083,0.2,1461,736,1420,33681,38309,38298,0,0,0,0,3979,3977,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9455606155311486,-4.429997688121561,0.053598,0.1,0.149927,0.2,1107,722,1531,33597,38475,38470,0,0,0,0,4024,4034,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9300212238065345,-4.511007584199234,0.053085,0.1,0.14903,0.2,1403,938,1511,33453,38045,38039,0,0,0,0,3982,3967,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.934468339307049,-4.596947792171045,0.052582,0.1,0.148138,0.2,1362,832,1545,33480,38287,38279,0,0,0,0,4053,4053,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9313803817132712,-4.615336901620592,0.052088,0.1,0.147251,0.2,1390,929,1426,33795,38512,38508,0,0,0,0,4086,4096,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.933724198374082,-4.631037599708226,0.051603,0.1,0.14637,0.2,1342,851,1444,33089,37891,37885,0,0,0,0,3957,3970,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9398148148148148,-4.691644820537804,0.051127,0.1,0.145494,0.2,1467,548,1459,33480,38183,38172,0,0,0,0,4016,4016,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9405715652277891,-4.729198341924541,0.05066,0.1,0.144623,0.2,1287,701,1389,33452,38303,38295,0,0,0,0,3988,3993,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9378702628680301,-4.774339204280612,0.050201,0.1,0.143757,0.2,1262,825,1536,33591,38359,38347,0,0,0,0,4048,4042,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
56,0.9368759969279848,-4.806986318075746,0.049751,0.1,0.142897,0.2,1389,748,1516,33854,38816,38809,0,0,0,0,4100,4095,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
57,0.9292475294677938,-4.7871207630041726,0.049308,0.1,0.142042,0.2,1466,911,1664,33596,38324,38319,0,0,0,0,3952,3960,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
58,0.9456573610116917,-4.7189698034912215,0.048874,0.1,0.141191,0.2,1245,577,1418,33528,38366,38357,0,0,0,0,3988,3973,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
59,0.9374564829110283,-4.784711361586041,0.048447,0.1,0.140346,0.2,1192,874,1443,33033,37930,37922,0,0,0,0,3933,3950,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
60,0.9400065697136202,-4.767185541866111,0.048027,0.1,0.139506,0.2,1307,702,1289,33487,38408,38404,0,0,0,0,4059,4066,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
61,0.9381250556429356,-4.794956669928585,0.047615,0.1,0.138671,0.2,1351,734,1426,33697,38278,38274,0,0,0,0,3999,4003,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
62,0.9392335442663671,-4.850588584238525,0.047209,0.1,0.137841,0.2,1349,706,1541,33818,38591,38581,0,0,0,0,4077,4081,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
63,0.9400607902735563,-4.89384275760767,0.046811,0.1,0.137016,0.2,1139,833,1384,32900,37934,37926,0,0,0,0,4041,4048,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
64,0.9457209357841967,-4.781115928708333,0.046419,0.1,0.136196,0.2,1220,599,1277,33512,38268,38266,0,0,0,0,4005,4014,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
65,0.9381940516240436,-4.8276547852690435,0.046033,0.1,0.135381,0.2,1252,824,1442,33589,38380,38367,0,0,0,0,4033,4018,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
