episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
77,0.9360201662515379,-3.4912770853746404,-3.0904565161924613,-0.19183705564026543,-1.9399366042186625,-2.774910731436783,0.033493,0.1,0.103272,0.2,1438,694,1431,33323,38222,38215,0,0,0,0,3836,3839,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
78,0.9438022996809343,-3.414467849078116,-3.090841865778006,-0.17042268494241758,-1.9530478141499186,-2.79360227878467,0.033206,0.1,0.102389,0.2,1249,618,1248,33222,38331,38328,0,0,0,0,3796,3802,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
79,0.9406042296072508,-3.4660032465457205,-3.1291112456832137,-0.18887996666342274,-1.9989233003437041,-2.8458717408446894,0.032925,0.1,0.101514,0.2,1281,685,1265,33100,37907,37903,0,0,0,0,3772,3757,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
80,0.9382320671351896,-3.7241263018743105,-3.2057933429271284,-0.2712390223704762,-2.03777359266593,-2.8840269504207203,0.032647,0.1,0.100647,0.2,1463,620,1154,33723,38312,38306,0,0,0,0,3806,3800,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
81,0.943642529184047,-3.781912217512521,-3.208767327986507,-0.2740858034409991,-2.0506054724957394,-2.904893417897207,0.032375,0.1,0.099786,0.2,1218,660,1180,33323,38258,38249,0,0,0,0,3822,3828,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
82,0.938435384475274,-3.63766111371306,-3.1601961241228884,-0.23462703971179166,-2.036361016918689,-2.905870978066057,0.032107,0.1,0.098934,0.2,1297,731,1440,32941,37921,37912,0,0,0,0,3818,3815,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
83,0.9414359005130359,-3.672474544092786,-3.1702836310689393,-0.23692993422227784,-2.0082300783545,-2.9007988448810704,0.031843,0.1,0.098088,0.2,1300,652,1328,33331,38291,38287,0,0,0,0,3821,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
84,0.9424594931449938,-3.611939075827338,-3.1759676774956884,-0.21948600129257087,-1.9705094570818447,-2.8876460999263736,0.031584,0.1,0.09725,0.2,1368,571,1080,33698,38555,38548,0,0,0,0,3847,3847,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
85,0.9422211555768885,-3.658486346775365,-3.205849448217738,-0.20842433359853213,-1.9757264687676335,-2.900062808781444,0.031329,0.1,0.096418,0.2,1240,686,1201,33334,38170,38167,0,0,0,0,3773,3781,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
86,0.9324861713260577,-3.950384600753528,-3.309977094193861,-0.27485670615312874,-2.0625994760536206,-2.968966378032471,0.031077,0.1,0.095594,0.2,1430,828,1442,33445,38036,38031,0,0,0,0,3775,3769,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
