episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
39,0.9271622759533261,-2.895437776447176,-2.350661754200562,-3.58734498084201,-3.646514655259395,0.058706,0.1,0.158251,0.2,1739,683,1410,33252,37593,37586,0,0,0,0,3248,3240,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9299511148205556,-2.918430090302164,-2.3593422711943695,-3.6200192367656823,-3.684390229695693,0.058091,0.1,0.157304,0.2,1669,681,1312,33548,38106,38097,0,0,0,0,3167,3167,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9387646274625981,-2.9036684759491376,-2.35385213145045,-3.6059972024546476,-3.7030625243675317,0.057488,0.1,0.156362,0.2,1430,637,1277,33755,38435,38428,0,0,0,0,3253,3253,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9360090987997964,-2.9170202910668186,-2.360566416989707,-3.6354711620028715,-3.7380335485472354,0.056899,0.1,0.155426,0.2,1406,732,1214,33411,38041,38031,0,0,0,0,3286,3286,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9279526727234312,-2.9580399643792417,-2.37075769516782,-3.664866275707867,-3.7643195632990096,0.056321,0.1,0.154496,0.2,1610,777,1284,33131,37804,37799,0,0,0,0,3399,3409,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9325413661434027,-2.9716946691428756,-2.385157740670963,-3.6589055365367313,-3.7793820499631257,0.055754,0.1,0.153571,0.2,1557,669,1223,32998,37578,37572,0,0,0,0,3215,3208,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9339712918660287,-2.9818530885411754,-2.40229472848148,-3.6332261614492545,-3.785998518692107,0.055199,0.1,0.152652,0.2,1546,662,1342,33440,37862,37854,0,0,0,0,3334,3344,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9305555555555556,-2.996917792962351,-2.410044479847787,-3.6584408455208237,-3.81747710653316,0.054655,0.1,0.151738,0.2,1611,744,1529,33912,38396,38387,0,0,0,0,3273,3288,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9262327178529474,-3.0296775569786223,-2.4446048865355006,-3.6986227045731326,-3.8621125605816444,0.054121,0.1,0.15083,0.2,1547,902,1248,33199,37741,37734,0,0,0,0,3290,3295,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9310157359026247,-3.0294854190381675,-2.4522933762481114,-3.7081285409098546,-3.8703803436323008,0.053598,0.1,0.149927,0.2,1443,841,1306,33109,37651,37645,0,0,0,0,3234,3246,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
