episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
185,0.912600770823165,-5.316600221999092,-2.8166002219990807,-1.4498747460099213,-0.7225723262562916,0.001522,0.01,0.0,0.97,100,11,0,11
186,0.9084618591079616,-5.322594107039215,-2.8225941070392007,-1.452978349113292,-0.7241613442179569,0.001515,0.01,0.0,0.97,100,11,0,11
187,0.9150667814869223,-5.327925256945182,-2.8279252569451683,-1.4556733895993377,-0.72551079212527,0.001509,0.01,0.0,0.97,100,11,0,11
188,0.909078643347444,-5.33379264688673,-2.833792646886717,-1.4587087220147805,-0.7270765064990261,0.001502,0.01,0.0,0.97,100,11,0,11
189,0.9047802556841982,-5.340054746521606,-2.840054746521594,-1.4619697425635725,-0.7287176553355613,0.001495,0.01,0.0,0.97,100,11,0,11
190,0.9045074621865631,-5.346114315077677,-2.8461143150776667,-1.4651377581402432,-0.7303762790959472,0.001488,0.01,0.0,0.97,100,11,0,11
191,0.904665348392935,-5.352447547943326,-2.8524475479433145,-1.468354841879437,-0.7319900640623896,0.001482,0.01,0.0,0.97,100,11,0,11
192,0.9120707507935699,-5.357808246758471,-2.8578082467584593,-1.4711460242694632,-0.7334147386410751,0.001475,0.01,0.0,0.97,100,11,0,11
193,0.9088211129927399,-5.36348742451319,-2.863487424513177,-1.4740668749703882,-0.7348577238628092,0.001469,0.01,0.0,0.97,100,11,0,11
194,0.9106954468576787,-5.369258237810075,-2.8692582378100635,-1.477054460267638,-0.7363674773613879,0.001462,0.01,0.0,0.97,100,11,0,11
195,0.9071336324089179,-5.374782645789479,-2.8747826457894683,-1.479902342923979,-0.7378371186474622,0.001456,0.01,0.0,0.97,100,11,0,11
196,0.9071071476827456,-5.38059899908059,-2.880598999080577,-1.4828613716537085,-0.7393691997523867,0.001449,0.01,0.0,0.97,100,11,0,11
197,0.9089869500874479,-5.3862736973900756,-2.8862736973900627,-1.485751162086767,-0.7408280834242283,0.001443,0.01,0.0,0.97,100,11,0,11
198,0.9089500193723363,-5.39188683809419,-2.891886838094178,-1.4885992761401492,-0.7422668654657734,0.001437,0.01,0.0,0.97,100,11,0,11
199,0.8999299158990789,-5.398201270621308,-2.8982012706212954,-1.4918921985124098,-0.743916850229577,0.001431,0.01,0.0,0.97,100,11,0,11
200,0.9107333706549952,-5.403635711184638,-2.9036357111846263,-1.4946523993019925,-0.7452808569549702,0.001424,0.01,0.0,0.97,100,11,0,11
201,0.912657652348157,-5.408789008730626,-2.9087890087306145,-1.4973171666677794,-0.7466081351871107,0.001418,0.01,0.0,0.97,100,11,0,11
202,0.912961242928312,-5.413900824037066,-2.9139008240370545,-1.4999610791934856,-0.7479569216482537,0.001412,0.01,0.0,0.97,100,11,0,11
203,0.9108230045452258,-5.419259525589452,-2.9192595255894407,-1.502699519420929,-0.7493392593248279,0.001406,0.01,0.0,0.97,100,11,0,11
204,0.903859413100143,-5.424973595151205,-2.9249735951511955,-1.5056479069321054,-0.750873761086369,0.0014,0.01,0.0,0.97,100,11,0,11
205,0.9052839289629467,-5.430803532415262,-2.930803532415251,-1.508681688363415,-0.7524154855484655,0.001395,0.01,0.0,0.97,100,11,0,11
206,0.9013684352094681,-5.43677825932116,-2.93677825932115,-1.51185254428868,-0.7540559349181364,0.001389,0.01,0.0,0.97,100,11,0,11
207,0.9127049524930632,-5.441729740772732,-2.9417297407727214,-1.5144120892505182,-0.7553238277098159,0.001383,0.01,0.0,0.97,100,11,0,11
208,0.9062721056354633,-5.447330189741588,-2.9473301897415776,-1.5172852575866662,-0.7567484876727147,0.001377,0.01,0.0,0.97,100,11,0,11
209,0.9137731384362361,-5.4522435094269985,-2.952243509426991,-1.519829271475883,-0.7580304264372749,0.001372,0.01,0.0,0.97,100,11,0,11
210,0.9077702363836972,-5.457655345988315,-2.9576553459883086,-1.522623064100237,-0.759412526334791,0.001366,0.01,0.0,0.97,100,11,0,11
211,0.9098852264563877,-5.462913022693657,-2.9629130226936495,-1.5253517768848595,-0.7608199238889448,0.00136,0.01,0.0,0.97,100,11,0,11
212,0.9039085745198809,-5.468444095099414,-2.9684440950994073,-1.528247229537469,-0.7622903767209304,0.001355,0.01,0.0,0.97,100,11,0,11
213,0.9111182227013188,-5.4735058312385085,-2.9735058312385023,-1.5308532288785819,-0.7635947850624577,0.001349,0.01,0.0,0.97,100,11,0,11
214,0.901699090556296,-5.4791487071094,-2.979148707109394,-1.5337745638164129,-0.7650880403109136,0.001344,0.01,0.0,0.97,100,11,0,11
215,0.91346056580234,-5.484048156167165,-2.9840481561671583,-1.5362680066406522,-0.7663269998055257,0.001338,0.01,0.0,0.97,100,11,0,11
216,0.9073725928560541,-5.489286432469333,-2.989286432469326,-1.5389847347191858,-0.7676992161758691,0.001333,0.01,0.0,0.97,100,11,0,11
217,0.9103340690708134,-5.4944139634893014,-2.9944139634892943,-1.5416642928184752,-0.7690625646397429,0.001328,0.01,0.0,0.97,100,11,0,11
218,0.9084088620342397,-5.499531132205138,-2.999531132205129,-1.544304293836264,-0.7703884695919883,0.001322,0.01,0.0,0.97,100,11,0,11
219,0.9073531393155484,-5.5046978496603955,-3.0046978496603858,-1.5469751297286078,-0.7717541685911717,0.001317,0.01,0.0,0.97,100,11,0,11
220,0.9035693821834238,-5.51007396583101,-3.0100739658310003,-1.5497596170944947,-0.7732183073184085,0.001312,0.01,0.0,0.97,100,11,0,11
221,0.9044475796970002,-5.515537964809415,-3.015537964809404,-1.5526269370765027,-0.7746844112393031,0.001307,0.01,0.0,0.97,100,11,0,11
222,0.9090385332294032,-5.520502217027241,-3.020502217027229,-1.5552112123996857,-0.775944568321684,0.001302,0.01,0.0,0.97,100,11,0,11
223,0.8983828225861249,-5.526216964653664,-3.0262169646536514,-1.5581721282615593,-0.777491047752998,0.001297,0.01,0.0,0.97,100,11,0,11
224,0.9052968960863698,-5.531431242058587,-3.031431242058574,-1.5609109791186808,-0.7789219428698868,0.001292,0.01,0.0,0.97,100,11,0,11
225,0.9044843502577407,-5.536654669249478,-3.0366546692494634,-1.563568734073152,-0.780300979980629,0.001287,0.01,0.0,0.97,100,11,0,11
226,0.9084421119486554,-5.541644666232583,-3.0416446662325693,-1.5661360603250163,-0.7816050814348222,0.001282,0.01,0.0,0.97,100,11,0,11
227,0.9128960618441352,-5.54624820091155,-3.0462482009115366,-1.5684574679611958,-0.7827844812702992,0.001277,0.01,0.0,0.97,100,11,0,11
228,0.9043606274430174,-5.551455917373787,-3.0514559173737736,-1.5710897301881595,-0.7841139177672203,0.001272,0.01,0.0,0.97,100,11,0,11
229,0.9134742853258099,-5.555700621278959,-3.055700621278945,-1.5732603285571716,-0.7851674195347924,0.001267,0.01,0.0,0.97,100,10,0,10
230,0.9100796336515312,-5.560654304389722,-3.0606543043897076,-1.575787450384587,-0.7864401825792645,0.001262,0.01,0.0,0.97,100,12,0,12
231,0.9052659968983885,-5.565707639084541,-3.0657076390845273,-1.5784061943342427,-0.7877815307559101,0.001257,0.01,0.0,0.97,100,11,0,11
232,0.9046362041600534,-5.570813533394323,-3.070813533394307,-1.5810546910056889,-0.7891705459880693,0.001253,0.01,0.0,0.97,100,11,0,11
233,0.9056935332708529,-5.575880328814324,-3.075880328814308,-1.5836895165177174,-0.790506420685035,0.001248,0.01,0.0,0.97,100,11,0,11
234,0.9109325410223512,-5.580491720781352,-3.080491720781337,-1.586082197919926,-0.79171857457408,0.001243,0.01,0.0,0.97,100,11,0,11
235,0.908538242086673,-5.585058703805326,-3.0850587038053106,-1.588439717214213,-0.7928790567220128,0.001239,0.01,0.0,0.97,100,10,0,10
236,0.9103563660699348,-5.589760602889027,-3.0897606028890108,-1.5908734483502733,-0.7941106005470635,0.001234,0.01,0.0,0.97,100,12,0,12
237,0.9105259588321069,-5.594378879355943,-3.0943788793559253,-1.59322438506455,-0.7952984609101608,0.001229,0.01,0.0,0.97,100,11,0,11
238,0.9132594638286406,-5.598764385432639,-3.098764385432622,-1.5954971759225418,-0.7964124567709876,0.001225,0.01,0.0,0.97,100,11,0,11
239,0.9064121013352967,-5.603625854035482,-3.1036258540354655,-1.5980272517480683,-0.7977160007372924,0.00122,0.01,0.0,0.97,100,11,0,11
240,0.9092728036990332,-5.6082452331240376,-3.108245233124021,-1.6004031891250008,-0.7989068281305243,0.001216,0.01,0.0,0.97,100,11,0,11
241,0.9119592704861751,-5.612565218932414,-3.1125652189323967,-1.6026525195952195,-0.8000701408626113,0.001212,0.01,0.0,0.97,100,11,0,11
242,0.9144559390897606,-5.616744202256764,-3.1167442022567466,-1.6047973355883536,-0.8011391833428709,0.001207,0.01,0.0,0.97,100,11,0,11
243,0.9024006762468301,-5.621720698029334,-3.121720698029317,-1.6073812366731857,-0.8024976435283504,0.001203,0.01,0.0,0.97,100,11,0,11
244,0.9112200711048206,-5.62618264072241,-3.126182640722395,-1.609686550166678,-0.803648769217546,0.001198,0.01,0.0,0.97,100,11,0,11
245,0.9085403910058533,-5.630746095203046,-3.130746095203029,-1.6120337159559075,-0.8048328497635856,0.001194,0.01,0.0,0.97,100,11,0,11
246,0.9153412266883479,-5.634763555181502,-3.1347635551814834,-1.6140551785569768,-0.8058689550720168,0.00119,0.01,0.0,0.97,100,11,0,11
247,0.9141882008776206,-5.638938827729203,-3.138938827729183,-1.6161862971203655,-0.8069331345468735,0.001186,0.01,0.0,0.97,100,11,0,11
248,0.9102509929857179,-5.643123599741151,-3.1431235997411306,-1.6183359482522877,-0.8080405025244783,0.001181,0.01,0.0,0.97,100,10,0,10
249,0.9109461966604824,-5.647546057307074,-3.147546057307053,-1.6206335799821476,-0.809227742844043,0.001177,0.01,0.0,0.97,100,11,0,11
250,0.9139460879228192,-5.651631250261617,-3.1516312502615964,-1.6227466060808853,-0.810301613377029,0.001173,0.01,0.0,0.97,100,11,0,11
251,0.9075941931694218,-5.656232260220105,-3.1562322602200843,-1.6251103675385714,-0.8115053252321505,0.001169,0.01,0.0,0.97,100,11,0,11
252,0.9133022384940735,-5.660391483109713,-3.160391483109693,-1.6272448357331866,-0.8125602322567305,0.001165,0.01,0.0,0.97,100,11,0,11
253,0.9040949554896143,-5.665075824295765,-3.165075824295745,-1.6297013304522885,-0.8138482800870228,0.001161,0.01,0.0,0.97,100,11,0,11
254,0.9094200480512546,-5.6694952905257,-3.169495290525679,-1.6320005091758916,-0.8149961026316938,0.001157,0.01,0.0,0.97,100,11,0,11
255,0.9031373135817248,-5.674336369459715,-3.1743363694596933,-1.6345046798107838,-0.8163221554170146,0.001153,0.01,0.0,0.97,100,11,0,11
256,0.9146096489734772,-5.678156771318874,-3.1781567713188545,-1.6364738089944892,-0.8173064371646301,0.001149,0.01,0.0,0.97,100,11,0,11
257,0.9076676777890125,-5.682601332365491,-3.1826013323654716,-1.638796171235691,-0.8184998170240617,0.001145,0.01,0.0,0.97,100,11,0,11
258,0.9032171761086215,-5.687378868291908,-3.18737886829189,-1.6412498239610003,-0.8197440075859431,0.001141,0.01,0.0,0.97,100,11,0,11
259,0.9133814640698456,-5.691325664838561,-3.1913256648385437,-1.6432725048285284,-0.8207858317345372,0.001137,0.01,0.0,0.97,100,11,0,11
260,0.9054250606035276,-5.695866281270386,-3.1958662812703693,-1.6456197134409059,-0.8219613971828841,0.001133,0.01,0.0,0.97,100,11,0,11
261,0.90427688422172,-5.700553081440486,-3.2005530814404675,-1.648094097927305,-0.8232151958657375,0.001129,0.01,0.0,0.97,100,11,0,11
262,0.8997829415624843,-5.705440471064412,-3.205440471064394,-1.6506624326847603,-0.8245818115625438,0.001125,0.01,0.0,0.97,100,11,0,11
263,0.9049228533283761,-5.709802960167684,-3.2098029601676656,-1.6529261416486896,-0.8257231858945828,0.001122,0.01,0.0,0.97,100,11,0,11
264,0.9035660641655274,-5.71430350369857,-3.2143035036985506,-1.6552695870511362,-0.8269263580607394,0.001118,0.01,0.0,0.97,100,11,0,11
265,0.9073733883879667,-5.718634879390904,-3.218634879390884,-1.6575125471260905,-0.8281068846710847,0.001114,0.01,0.0,0.97,100,11,0,11
266,0.9040877570743121,-5.723226763925475,-3.2232267639254535,-1.6599090085503587,-0.8293762551626223,0.00111,0.01,0.0,0.97,100,11,0,11
267,0.9099191474340657,-5.727325521757093,-3.2273255217570727,-1.6620272266925844,-0.8304243290008093,0.001107,0.01,0.0,0.97,100,11,0,11
268,0.9025573044266202,-5.731844735644497,-3.231844735644476,-1.6644066583242279,-0.8316345287385934,0.001103,0.01,0.0,0.97,100,11,0,11
269,0.9042562186110219,-5.736291357592951,-3.2362913575929313,-1.66673184425044,-0.832783536023435,0.001099,0.01,0.0,0.97,100,11,0,11
270,0.9046108397535961,-5.740682546332398,-3.2406825463323785,-1.6689854083578988,-0.833957028965993,0.001096,0.01,0.0,0.97,100,11,0,11
271,0.9020770018637607,-5.745193737985009,-3.245193737984991,-1.6713003974618812,-0.8351686051634402,0.001092,0.01,0.0,0.97,100,11,0,11
272,0.9047530697611659,-5.7496091404974,-3.249609140497381,-1.6736090723872514,-0.8363571682842427,0.001088,0.01,0.0,0.97,100,11,0,11
273,0.9099655079128905,-5.753632997046529,-3.2536329970465108,-1.675678920518206,-0.8373865118458944,0.001085,0.01,0.0,0.97,100,11,0,11
274,0.9028809229780251,-5.758018751732036,-3.2580187517320156,-1.6779508211366483,-0.8385397621203676,0.001081,0.01,0.0,0.97,100,11,0,11
275,0.9051601094823098,-5.762346023205227,-3.2623460232052066,-1.680222664856228,-0.839723701682425,0.001078,0.01,0.0,0.97,100,11,0,11
276,0.9123724339682914,-5.766161092361758,-3.266161092361737,-1.6821651514508407,-0.8406740639530839,0.001074,0.01,0.0,0.97,100,11,0,11
277,0.907088526470241,-5.770302623291525,-3.2703026232915064,-1.684283775097467,-0.8417241064250001,0.001071,0.01,0.0,0.97,100,11,0,11
278,0.9019232062403335,-5.774706337829892,-3.2747063378298726,-1.6865848461978334,-0.8429286138290244,0.001067,0.01,0.0,0.97,100,11,0,11
279,0.9132737392477652,-5.778420882652054,-3.2784208826520356,-1.6885069007268578,-0.8439138037985929,0.001064,0.01,0.0,0.97,100,11,0,11
280,0.9041387043328368,-5.782701203741661,-3.2827012037416408,-1.6907102887679744,-0.8450087710238858,0.001061,0.01,0.0,0.97,100,11,0,11
281,0.9054120105846859,-5.786765492868426,-3.286765492868405,-1.6927898458093442,-0.8460985084708572,0.001057,0.01,0.0,0.97,100,11,0,11
282,0.9040426177551502,-5.791095125915338,-3.2910951259153207,-1.6949938907785034,-0.8472208221658514,0.001054,0.01,0.0,0.97,100,11,0,11
283,0.9149563114237537,-5.794621780322889,-3.294621780322873,-1.6967907648746372,-0.8481217394389626,0.001051,0.01,0.0,0.97,100,11,0,11
284,0.9069014852159695,-5.798630056763521,-3.2986300567635047,-1.6988944140782074,-0.8491810582991931,0.001047,0.01,0.0,0.97,100,11,0,11
285,0.9000520212783809,-5.8030831660732565,-3.303083166073239,-1.7011844054850536,-0.8503530201256484,0.001044,0.01,0.0,0.97,100,11,0,11
286,0.9110574909097002,-5.80682961055445,-3.3068296105544324,-1.7031107692831,-0.851354562362376,0.001041,0.01,0.0,0.97,100,11,0,11
287,0.914873980602074,-5.810404075408337,-3.3104040754083184,-1.7049564262992958,-0.8523103916083639,0.001037,0.01,0.0,0.97,100,11,0,11
288,0.9107762432818559,-5.814133876936596,-3.3141338769365802,-1.7068723148158982,-0.8532763968233813,0.001034,0.01,0.0,0.97,100,11,0,11
289,0.9098187311178247,-5.817894310382652,-3.3178943103826355,-1.7087944221911386,-0.8542632406257902,0.001031,0.01,0.0,0.97,100,11,0,11
290,0.9066333676448255,-5.821826695045702,-3.321826695045687,-1.710816501989424,-0.8553010300307364,0.001028,0.01,0.0,0.97,100,11,0,11
291,0.9060759493670886,-5.825813247929058,-3.325813247929043,-1.712842275688881,-0.8563488749190762,0.001025,0.01,0.0,0.97,100,11,0,11
292,0.909286711874674,-5.829651793112524,-3.329651793112509,-1.714856525768899,-0.8573568671595401,0.001022,0.01,0.0,0.97,100,11,0,11
293,0.9076651277521293,-5.833495151208103,-3.3334951512080884,-1.7168672116666166,-0.858365676063889,0.001018,0.01,0.0,0.97,100,11,0,11
294,0.9131485141824203,-5.8370470634476375,-3.3370470634476237,-1.7186801021200764,-0.8592705457622596,0.001015,0.01,0.0,0.97,100,11,0,11
295,0.90545577198752,-5.841039448489408,-3.3410394484893935,-1.7207977897160385,-0.8603673848697224,0.001012,0.01,0.0,0.97,100,11,0,11
296,0.9128525274281484,-5.844543151860876,-3.3445431518608624,-1.7225876302391647,-0.8612882593983611,0.001009,0.01,0.0,0.97,100,11,0,11
297,0.9059744857066524,-5.848524256314187,-3.3485242563141733,-1.7246593901943008,-0.8623507394938413,0.001006,0.01,0.0,0.97,100,11,0,11
298,0.9090342993705611,-5.85226617936384,-3.352266179363826,-1.7266091195142586,-0.8633203075859807,0.001003,0.01,0.0,0.97,100,11,0,11
299,0.9095274876582597,-5.8555671081865155,-3.3555671081865013,-1.7283111126054116,-0.8642347791395741,0.001,0.01,0.0,0.97,100,11,1,12
