rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
0.5093008,0.18373743,0.13392165,0.15872708,0.11386127,0.89666665,0.7392857,0.05970149,0.04477612,0.24245606,0.22018015,0.033950426,0.02987917,1.0,0.0,1.0,0.047858942,0.3624542,0.8888889,0.0,0.0015010715,0.8888889,0.0,0.0,0.025569635
0.5093008,0.19898075,0.13507898,0.17380975,0.11735758,0.97692305,0.8770588,0.08955224,0.05970149,0.24062775,0.21456677,0.03095946,0.033250783,1.0,0.0,1.0,0.047858942,0.24927291,0.0,0.0,0.010145584,0.0,0.5,0.4202798,0.4465473
0.5221296,0.20465046,0.13892572,0.17829901,0.11712428,0.97,0.8525,0.07462686,0.029850746,0.23082735,0.21208537,0.028140547,0.0351751,1.0,0.0,1.0,0.046683047,0.32867616,0.0,0.7058824,0.0034474358,0.0,0.0,0.5148753,0.541974
0.52341247,0.19859143,0.14049356,0.17127618,0.12101135,0.9188811,0.8595588,0.104477614,0.04477612,0.22322074,0.20509198,0.022846892,0.03742533,1.0,0.0,1.0,0.04656863,0.6294816,0.0,0.0,0.008407834,0.0,0.0,0.027796896,0.055593792
0.55676717,0.20611252,0.1439885,0.17003366,0.12768896,0.85714287,0.96666664,0.04477612,0.05970149,0.20730697,0.19038588,0.02400168,0.03803031,1.0,0.0,1.0,0.043778803,0.34985784,0.0,0.0,0.017225891,0.0,0.0,0.08808928,0.117452376
0.6003849,0.22399256,0.14345153,0.19421948,0.1184842,0.975,0.8525,0.08955224,0.014925373,0.18982506,0.14917588,0.037695613,0.026793465,1.0,0.0,1.0,0.040598292,0.17045176,0.8333333,0.0,0.015368895,0.8333333,0.0,0.0,0.030358056
0.58114177,0.21399248,0.1387267,0.18610677,0.12029868,0.98333335,0.88472223,0.08955224,0.029850746,0.15987775,0.14224961,0.035090137,0.02946277,1.0,0.0,1.0,0.041942604,0.50544924,0.0,0.13636364,0.0024229118,0.0,0.48387095,0.58424854,0.61499846
0.5978191,0.22125706,0.14381391,0.19305861,0.1256894,0.98421055,0.875,0.104477614,0.029850746,0.13057907,0.116571315,0.033709057,0.025752302,1.0,0.0,1.0,0.04077253,0.4550073,0.0,0.85,0.003511974,0.0,0.0,0.6018008,0.6334745
0.6465683,0.25384942,0.17281179,0.23112558,0.15809098,1.0,1.0,0.1641791,0.104477614,0.13351303,0.12160564,0.044698104,0.034358166,1.0,0.0,1.0,0.037698414,0.21072355,0.035714287,0.0,0.0041304072,0.035714287,0.0,0.0,0.032063704
0.5388069,0.2611509,0.1651998,0.24129005,0.14975996,1.0,0.98571426,0.17910448,0.08955224,0.15721673,0.1381408,0.06049949,0.039829444,1.0,0.0,1.0,0.045238096,0.22901782,0.90909094,0.0,0.009452142,0.90909094,0.0,0.0,0.03329154
0.5298268,0.25120223,0.14751972,0.22695315,0.13177167,1.0,0.98,0.14925373,0.07462686,0.14993516,0.11640775,0.051321443,0.029217668,1.0,0.0,1.0,0.046004843,0.3556971,0.0,0.0952381,0.006239778,0.0,0.36,0.6420002,0.67578965
0.5105837,0.24216463,0.13957337,0.22081974,0.12596038,1.0,0.98,0.14925373,0.07462686,0.13117589,0.100620106,0.046464838,0.025256934,1.0,0.0,1.0,0.047738694,0.5333419,0.0,0.93333334,0.007633519,0.0,0.0,0.6635605,0.6984848
0.52854395,0.20828906,0.14986564,0.1840793,0.13021083,1.0,0.92333335,0.08955224,0.07462686,0.118670575,0.07922386,0.040743496,0.018795714,1.0,0.0,1.0,0.046116505,0.2480026,0.045454547,0.0,0.015371104,0.045454547,0.0,0.0,0.03588955
0.49262348,0.19252992,0.14115737,0.16560693,0.12360429,0.91625,0.90636367,0.05970149,0.07462686,0.09642629,0.06430196,0.032739572,0.017766764,1.0,0.0,1.0,0.049479168,0.16431375,0.0,0.0,0.0069998708,0.0,0.03125,0.62886184,0.66585374
0.5028865,0.20752023,0.13169727,0.1848895,0.1112305,1.0,0.8375,0.104477614,0.04477612,0.07840239,0.049630333,0.02557957,0.010868178,1.0,0.0,1.0,0.048469387,0.30518252,0.0,0.65217394,0.010467649,0.0,0.0,0.72942394,0.7678147
0.466966,0.20167302,0.12279351,0.17748004,0.10243643,1.0,0.8333333,0.08955224,0.014925373,0.07009916,0.06403616,0.019848034,0.011764802,1.0,0.0,1.0,0.052197803,0.013115742,0.0,0.0,0.016401092,0.0,0.0,0.39468288,0.43415117
0.48364335,0.19862224,0.14687869,0.17632961,0.12760225,1.0,0.89615387,0.104477614,0.05970149,0.06281956,0.07805752,0.023047121,0.025435776,1.0,0.0,1.0,0.050397877,0.41222957,0.26666668,0.0,0.0063994587,0.26666668,0.0,0.0,0.040420834
0.48492622,0.19812585,0.14790814,0.17409533,0.12731911,1.0,0.83776224,0.07462686,0.04477612,0.06256374,0.07036184,0.021368146,0.023524152,1.0,0.0,1.0,0.05026455,0.33932638,1.0,0.0,0.00932579,1.0,0.23529412,0.0,0.041374344
0.46568313,0.19841324,0.13855976,0.17797878,0.1224347,1.0,0.975,0.08955224,0.07462686,0.056705654,0.0541343,0.022735795,0.024905287,1.0,0.0,1.0,0.0523416,0.18246226,0.0,0.0,0.015388345,0.0,0.52,0.550427,0.5927676
