Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,work_ratio,imbalance_concentration
9000,16343.66897523173,V0,S43,S35,0,0,-258.1656163638552,0.0,0.21566241901310632,0.15792192672946548,1.0,0.03909205548549811
9000,16353.933187415889,V0,S35,S42,12,0,-255.2699367120672,0.0,0.20937100984337928,0.14097726921806347,1.0,0.04161248374512354
9000,16364.242389548066,V0,S42,S1,8,0,-256.159504502994,0.0,0.2194449626096315,0.13352994099088325,1.0,0.03959131545338442
9000,16372.432185009258,V0,S1,S18,0,0,-254.74903640254314,0.0,0.20150372157032728,0.1485190472296418,1.0,0.040103492884864166
9000,16384.47087514026,V0,S18,S34,0,12,-254.89759464064625,0.0,0.1975499224448954,0.15605626484165233,1.0,0.040103492884864166
9000,16398.99972454895,V0,S34,S4,0,8,-251.60608581041896,0.0,0.18639598341427466,0.14310060441513792,1.0,0.041499330655957165
9000,16411.10620667337,V0,S4,S60,0,0,-252.85176954798146,0.0,0.19900460115535573,0.13495339705433795,1.0,0.04005340453938585
9000,16416.220676209974,V0,S60,S54,15,0,-252.05001323070556,0.0,0.20363742095249512,0.12028434656257915,1.0,0.04149377593360996
9000,16433.166607954936,V0,S54,S53,5,0,-252.9599588649889,0.0,0.2017429033237841,0.13170649207739143,1.0,0.039318479685452164
9000,16441.127645165598,V0,S53,S15,0,13,-252.97309392438092,0.0,0.19638995524161587,0.14014590904885002,1.0,0.040160642570281124
9000,16455.394856389335,V0,S15,S59,0,7,-252.49548773961806,0.0,0.19338019096740708,0.14041403584173015,1.0,0.040927694406548434
9000,16467.563538712813,V0,S59,S44,0,0,-252.10812238288807,0.0,0.1984093145820666,0.12900932252407402,1.0,0.0407055630936228
9000,16473.388869448965,V0,S44,S39,9,0,-252.5989796056973,0.0,0.20723599918961433,0.12001220782996613,1.0,0.0343878954607978
9000,16485.761803129273,V0,S39,S37,11,0,-250.16949503718337,0.0,0.20370308510906873,0.10311000988264737,1.0,0.03556187766714083
9000,16497.813440720118,V0,S37,S12,0,0,-246.19937513546847,0.0,0.17819951965465405,0.10630786680691622,1.0,0.03671071953010279
9000,16507.37731921518,V0,S12,S24,0,12,-244.9648619571006,0.0,0.16661615352858894,0.11262539839836293,1.0,0.04633781763826607
9000,16531.81647677965,V0,S24,S20,0,8,-247.3472981316223,0.0,0.17182030463468737,0.12640341800730923,1.0,0.04721030042918455
9000,16544.433559615958,V0,S20,S37,0,0,-249.6003756551897,0.0,0.19887792006270902,0.10539128361213301,1.0,0.0357653791130186
9000,16557.877350040388,V0,S37,S33,18,0,-248.31783035382983,0.0,0.20080799648526812,0.09051105909353674,1.0,0.037257824143070044
9000,16571.782780576603,V0,S33,S54,2,0,-251.23757723948358,0.0,0.19749433277228498,0.12260303276806672,1.0,0.03626220362622036
9000,16578.885858496986,V0,S54,S57,0,12,-248.15702923917257,0.0,0.17909765953839551,0.12270593251387449,1.0,0.042212518195050945
9000,16590.535506754113,V0,S57,S29,0,8,-247.9285566437997,0.0,0.17738469534969264,0.12339378739983949,1.0,0.039301310043668124
9000,16599.58978156516,V0,S29,S62,0,0,-246.72834226530307,0.0,0.1785352123178179,0.1104402108184809,1.0,0.041968162083936326
9000,16606.38136181969,V0,S62,S33,13,0,-244.01165633246478,0.0,0.1714267340595273,0.09644884586257102,1.0,0.043740573152337855
9000,16616.805607072914,V0,S33,S54,7,0,-243.40151399951472,0.0,0.16515037675956806,0.10053563396570354,1.0,0.045941807044410414
9000,16626.408684993297,V0,S54,S65,0,10,-242.2430023842837,0.0,0.1551372964905946,0.10544719586975572,1.0,0.04709576138147567
9000,16642.832465156218,V0,S65,S29,0,10,-243.01635130386393,0.0,0.14825643104234268,0.12344282626954813,1.0,0.0436817472698908
9000,16659.699490717147,V0,S29,S55,0,0,-246.42576522987605,0.0,0.17025952401147426,0.1204671886515396,1.0,0.044444444444444446
9000,16664.82142635039,V0,S55,S61,15,0,-245.3355557967858,0.0,0.17099570252247384,0.10925969133306909,1.0,0.044977511244377814
9000,16680.579881407084,V0,S61,S29,5,0,-243.70524395216015,0.0,0.15763091359261303,0.11509950156648727,1.0,0.04510108864696734
9000,16691.816823860892,V0,S29,S10,0,14,-242.57087338672824,0.0,0.14347345688470547,0.12663275789470563,1.0,0.04791344667697063
9000,16702.47764589773,V0,S10,S26,0,6,-244.35015773730944,0.0,0.14589030655264915,0.1393344389533685,1.0,0.045655375552282766
9000,16713.146740832028,V0,S26,S60,0,0,-246.9689886432588,0.0,0.17874249736228082,0.1121110841851601,1.0,0.047407407407407405
9000,16723.000946841807,V0,S60,S41,15,0,-246.63651589684068,0.0,0.18019202735549011,0.10676518149632454,1.0,0.047976011994003
9000,16734.36613364886,V0,S41,S17,5,0,-244.63791884329044,0.0,0.17237938269787856,0.1005381012724153,1.0,0.048411497730711045
9000,16748.025652724078,V0,S17,S26,0,12,-246.63983377852068,0.0,0.1706715679084271,0.12214794988208291,1.0,0.03576751117734724
9000,16759.033245528226,V0,S26,S51,0,8,-248.33230968360016,0.0,0.1783965945784741,0.12555917926012092,1.0,0.03863298662704309
9000,16777.258040917874,V0,S51,S62,0,0,-248.42473480584908,0.0,0.18123851941082553,0.12188551029441377,1.0,0.04084720121028744
9000,16786.072581640365,V0,S62,S16,13,0,-247.25365643117448,0.0,0.18434744418177942,0.1062476930013744,1.0,0.0409711684370258
9000,16797.985400839985,V0,S16,S52,7,0,-247.17856324623781,0.0,0.1780515714375857,0.11494414789466477,1.0,0.051698670605613
9000,16805.55135469898,V0,S52,S51,0,10,-247.17548939723173,0.0,0.17090796550975274,0.12605023131954735,1.0,0.05200594353640416
9000,16818.210684378035,V0,S51,S38,0,10,-245.76000815702093,0.0,0.15909300833719597,0.1313135926603944,1.0,0.05547226386806597
9000,16831.68507937588,V0,S38,S31,0,0,-249.5540054269476,0.0,0.17915354536875905,0.13559847701996058,1.0,0.039301310043668124
9000,16837.996000278363,V0,S31,S66,20,0,-248.93497764010746,0.0,0.17910087766659677,0.12995312449034974,1.0,0.04
9000,16851.38018769347,V0,S66,S35,0,0,-251.0811720799965,0.0,0.1847056705137414,0.14103571325286335,1.0,0.03829787234042553
9000,16862.60894400037,V0,S35,S1,0,9,-250.0229563360157,0.0,0.17669621942077912,0.14377324653157159,1.0,0.03873744619799139
9000,16870.637433423544,V0,S1,S15,0,8,-249.99115612293522,0.0,0.16739209021398246,0.15801651144074447,1.0,0.03829787234042553
9000,16883.931483182576,V0,S15,S66,0,3,-248.84567217664434,0.0,0.16893407702725882,0.14500214076429557,1.0,0.03982930298719772
9000,16891.630226533634,V0,S66,S61,12,0,-246.9203370550784,0.0,0.1673971821906767,0.12964645521583085,1.0,0.04052098408104197
9000,16901.7578391132,V0,S61,S33,6,0,-242.7894945249018,0.0,0.1486288594296857,0.12099260140169006,1.0,0.03828483920367534
9000,16909.92866329476,V0,S33,S54,2,0,-242.71841790168776,0.0,0.1425695268684908,0.12964779404084822,1.0,0.04186046511627907
9000,16917.03174121514,V0,S54,S55,0,12,-243.67202483166176,0.0,0.14591473629352306,0.1330755851106461,1.0,0.04510108864696734
9000,16926.979460587674,V0,S55,S46,0,8,-244.31364165001565,0.0,0.15424964868078547,0.12601048319903255,1.0,0.044274809160305344
9000,16936.86280936402,V0,S46,S33,12,0,-244.28630482170655,0.0,0.1594872792304321,0.1175466821304605,1.0,0.0452418096723869
9000,16947.864660042993,V0,S33,S64,8,0,-243.8265363136867,0.0,0.16552128321173804,0.10353825603625008,1.0,0.05409582689335394
9000,16957.99337453128,V0,S64,S38,0,0,-242.75823763486025,0.0,0.15082505129416382,0.11664166624934805,1.0,0.053929121725731895
9000,16962.940779674398,V0,S38,S26,0,10,-240.12254695873162,0.0,0.14303173753820264,0.10441543679116752,1.0,0.056910569105691054
9000,16980.06575286304,V0,S26,S6,0,10,-239.6086073928032,0.0,0.12690093611685996,0.12460646777197174,1.0,0.0630048465266559
9000,16994.403373525678,V0,S6,S61,0,0,-240.0497684145249,0.0,0.13169714651827794,0.12130756251363725,1.0,0.059967585089141004
9000,17006.74047384829,V0,S61,S41,7,0,-237.88666074023757,0.0,0.13152853383671734,0.101627769256145,1.0,0.060658578856152515
9000,17015.480013079217,V0,S41,S31,13,0,-235.79486729202173,0.0,0.13124645843870364,0.08367425414191877,1.0,0.039399624765478425
9000,17026.248856362,V0,S31,S15,0,0,-236.08432427363593,0.0,0.12439260368962593,0.09603404488265839,1.0,0.06398537477148081
9000,17032.781965351965,V0,S15,S10,0,11,-233.9784301450985,0.0,0.1102607489913976,0.09865870746525054,1.0,0.06493506493506493
9000,17701.579280503123,V0,S10,S54,0,9,-237.8908650943474,0.0,0.13504531188587363,0.09681265403075234,1.0,0.045075125208681135
9000,17710.29288331915,V0,S54,S61,0,0,-237.39513417956294,0.0,0.14405618282291993,0.07834707841478832,1.0,0.0411663807890223
9000,17718.126026861977,V0,S61,S35,6,0,-235.63951090717802,0.0,0.13990848475490866,0.06858400334530092,1.0,0.04293381037567084
9000,17731.74716273155,V0,S35,S63,10,0,-234.62260173190677,0.0,0.1374596385996656,0.0629646120928907,1.0,0.044859813084112146
9000,17746.40269166267,V0,S63,S26,4,0,-233.98725250907916,0.0,0.12864730954936554,0.07117570727546568,1.0,0.037243947858473
9000,17759.37810375084,V0,S26,S6,0,12,-232.6824335747256,0.0,0.11999035686901004,0.07263648915584339,1.0,0.0380952380952381
9000,17774.71572441348,V0,S6,S43,0,8,-234.1380132566515,0.0,0.1219344523201887,0.08283048401174735,1.0,0.0423572744014733
9000,17794.437490602395,V0,S43,S66,0,0,-237.84306233301305,0.0,0.14487419480719968,0.08083878292977484,1.0,0.04991394148020654
9000,17801.99404707489,V0,S66,S40,12,0,-237.37241235855902,0.0,0.14405760958625224,0.07777289999092382,1.0,0.05008635578583765
9000,17814.41084804015,V0,S40,S54,8,0,-238.68424196845615,0.0,0.1522095908539725,0.07723667967209155,1.0,0.04746317512274959
9000,17823.58053595868,V0,S54,S56,0,12,-238.48459678582424,0.0,0.15128419164186746,0.07709236522125852,1.0,0.04132231404958678
9000,17834.284342890387,V0,S56,S53,0,5,-240.03529241375225,0.0,0.15588261988597274,0.08406510112206464,1.0,0.044481054365733116
9000,17842.840578793952,V0,S53,S8,0,3,-239.30493004923605,0.0,0.15554013455048354,0.07787538537935672,1.0,0.044481054365733116
9000,17859.958977035196,V0,S8,S60,11,0,-242.94278206698354,0.0,0.17525295246498424,0.08055344805105782,1.0,0.045813586097946286
9000,17885.198059516595,V0,S60,S30,9,0,-244.48851963683637,0.0,0.17696635896279436,0.09204918622706644,1.0,0.04732824427480916
9000,17894.47078033734,V0,S30,S43,0,8,-242.2063908065419,0.0,0.16302566944696206,0.0929817541530754,1.0,0.04265402843601896
9000,17907.653145709235,V0,S43,S15,0,12,-244.31256365470998,0.0,0.1659318592441182,0.10753572201615069,1.0,0.05007587253414264
9000,17922.404652339766,V0,S15,S37,0,0,-249.94930644036222,0.0,0.19491746780716332,0.11460171279258964,1.0,0.040238450074515646
9000,17930.393372900904,V0,S37,S38,18,0,-245.80424504014974,0.0,0.1826524676377719,0.09547449360804355,1.0,0.042789223454833596
9000,17944.31859122739,V0,S38,S15,2,0,-247.26318387992697,0.0,0.18331706954850538,0.1080914868672242,1.0,0.03732503888024884
9000,17954.723250329986,V0,S15,S32,0,14,-244.33802042384693,0.0,0.16704558814844167,0.10649193244162083,1.0,0.03877221324717286
9000,17970.316908505367,V0,S32,S66,0,6,-243.58733284909434,0.0,0.15702475284347836,0.11518781093026391,1.0,0.03949447077409163
9000,17982.725173868752,V0,S66,S62,0,0,-248.66393255595355,0.0,0.19089825329700105,0.10916513357162794,1.0,0.03714710252600297
9000,17988.644658847905,V0,S62,S44,13,0,-248.41650530360008,0.0,0.1928460048698182,0.1038479074665742,1.0,0.03714710252600297
9000,18000.346796066126,V0,S44,S7,7,0,-246.33777500843223,0.0,0.17740040861183312,0.10872363147141482,1.0,0.039301310043668124
9000,18017.245563096058,V0,S7,S66,0,12,-242.5862149248231,0.0,0.16115372465911657,0.0993000936334018,1.0,0.04510108864696734
9000,18032.887350528315,V0,S66,S55,0,8,-242.65955103133675,0.0,0.15625478716907384,0.10780255858939923,1.0,0.0406015037593985
9000,18046.013512616097,V0,S55,S33,0,0,-244.0062343954762,0.0,0.16863914926201568,0.1009521442042582,1.0,0.03873744619799139
9000,18052.293501346718,V0,S33,S36,13,0,-244.5501736985309,0.0,0.17750874709756567,0.09211074807921915,1.0,0.03896103896103896
9000,18066.14546459371,V0,S36,S35,7,0,-246.21604131154237,0.0,0.18862230189314919,0.0901374593682455,1.0,0.03818953323903819
9000,18079.16329775203,V0,S35,S55,0,9,-243.89705238409056,0.0,0.1783529000178885,0.08483612348007866,1.0,0.03759398496240601
9000,18089.706881770413,V0,S55,S34,0,11,-241.39089278282367,0.0,0.16448332101861188,0.08336254811881726,1.0,0.03863987635239567
9000,18101.833912371316,V0,S34,S61,0,0,-246.0114252221459,0.0,0.18530270290725281,0.09351954189748428,1.0,0.03607503607503607
9000,18108.984548108685,V0,S61,S18,7,0,-244.11858392935923,0.0,0.17683298680948115,0.08926101141261215,1.0,0.037257824143070044
9000,18116.92391463329,V0,S18,S60,9,0,-244.52682820434924,0.0,0.18253814150141834,0.08410354761182058,1.0,0.03759398496240601
9000,18125.88411779847,V0,S60,S65,4,0,-243.3301374523466,0.0,0.17478187111895682,0.08506316284920322,1.0,0.0406885758998435
9000,18133.975130246126,V0,S65,S22,0,12,-241.77315002759838,0.0,0.1672849052986344,0.08224205073093617,1.0,0.045234248788368334
9000,18144.33583831247,V0,S22,S26,0,8,-240.13123816328945,0.0,0.150520142771336,0.09322398483801551,1.0,0.04674457429048414
9000,18158.72282273154,V0,S26,S54,0,0,-245.23090716558482,0.0,0.17821459171004347,0.09683080053648002,1.0,0.0499219968798752
9000,18167.44817689063,V0,S54,S41,11,0,-247.10010639455834,0.0,0.2015950306978264,0.07768377236248174,1.0,0.046801872074883
9000,18182.911438961964,V0,S41,S60,9,0,-248.86949474072915,0.0,0.20215877632497406,0.09313477803763394,1.0,0.04580152671755725
9000,18191.276625769016,V0,S60,S63,0,0,-247.765124840023,0.0,0.18389573891857558,0.1116152796681386,1.0,0.042105263157894736
9000,18198.745783634986,V0,S63,S26,0,14,-243.92025589073143,0.0,0.16097921350139602,0.11215763861407753,1.0,0.03764320785597381
9000,18216.721195723156,V0,S26,S20,0,6,-242.57314624383187,0.0,0.1550332309612806,0.10900739821061678,1.0,0.03828483920367534
9000,18230.733846338666,V0,S20,S40,0,0,-242.17649251810042,0.0,0.15529338482401395,0.10479892474119476,1.0,0.041990668740279936
9000,18243.966056758014,V0,S40,S60,11,0,-240.30154112626997,0.0,0.15984229962567936,0.0806306273929267,1.0,0.03727714748784441
9000,18256.760284286403,V0,S60,S52,9,0,-240.03240276595113,0.0,0.16081720488080886,0.07669284587690552,1.0,0.03576982892690513
9000,18267.60839911003,V0,S52,S34,0,10,-236.13326132381815,0.0,0.13823693248399502,0.07600033302371177,1.0,0.03648424543946932
9000,18279.957663461115,V0,S34,S10,0,10,-234.56321383411085,0.0,0.12030894201622432,0.08943738067940997,1.0,0.038525963149078725
9000,18289.815281366915,V0,S10,S61,0,0,-236.9377941945042,0.0,0.14130618036130582,0.07864227036490248,1.0,0.03588907014681892
9000,18297.91018101922,V0,S61,S66,8,0,-237.4242527972686,0.0,0.14786595684523696,0.07288975821393888,1.0,0.03577235772357724
9000,18306.037793598785,V0,S66,S62,10,0,-236.93933162894822,0.0,0.14482462203507904,0.0731048689651283,1.0,0.03739837398373984
9000,18316.95727857794,V0,S62,S16,2,0,-234.98378672647655,0.0,0.1304219090042713,0.07745871893567809,1.0,0.040257648953301126
9000,18323.37009777756,V0,S16,S53,0,7,-233.9879534719987,0.0,0.11956833469762823,0.08506060729072515,1.0,0.04433497536945813
9000,18331.598806887956,V0,S53,S26,0,13,-234.0823878912696,0.0,0.11303852039600241,0.09597920402052414,1.0,0.047775947281713346
9000,18348.38698473336,V0,S26,S46,0,0,-236.25066338053097,0.0,0.12624315666636682,0.0954343691745037,1.0,0.04538341158059468
9000,18359.469978670415,V0,S46,S62,13,0,-237.88280899433158,0.0,0.13759696358914372,0.09265343133422867,1.0,0.047619047619047616
9000,18371.73357584797,V0,S62,S52,7,0,-237.0132870445434,0.0,0.1293087039026914,0.09743699742640168,1.0,0.05116279069767442
9000,18379.78241105905,V0,S52,S26,0,9,-236.3606691159206,0.0,0.12240158808999001,0.1021330110525159,1.0,0.052969502407704656
9000,18394.279953394915,V0,S26,S37,0,11,-236.51135904171704,0.0,0.11965770103641753,0.10746068426663812,1.0,0.06135986733001658
9000,18410.568382626334,V0,S37,S40,0,0,-237.84888977216193,0.0,0.13378167864654528,0.0978158114776004,1.0,0.0593900481540931
9000,18416.881398500613,V0,S40,S33,11,0,-236.67414452952562,0.0,0.13402852676946284,0.08666218187743326,1.0,0.05823627287853577
